a,b,verdict_and_set
MetaArbor/primary,MetaArbor/seed977,0.9709
OTHarmonizer/seeded_v2f_a,OTHarmonizer/seeded_v3f_a,0.9612
OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r1,0.835
OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r2,0.8058
OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r3,0.8544
OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r4,0.8155
OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r2,0.8155
OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r3,0.7573
OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r4,0.8155
OTHarmonizer/v2f_r2,OTHarmonizer/v2f_r3,0.7961
OTHarmonizer/v2f_r2,OTHarmonizer/v2f_r4,0.8252
OTHarmonizer/v2f_r3,OTHarmonizer/v2f_r4,0.7864
OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r1,0.7184
OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r2,0.7573
OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r3,0.7282
OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r4,0.7767
OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r2,0.8058
OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r3,0.7767
OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r4,0.7476
OTHarmonizer/v3f_r2,OTHarmonizer/v3f_r3,0.8447
OTHarmonizer/v3f_r2,OTHarmonizer/v3f_r4,0.7767
OTHarmonizer/v3f_r3,OTHarmonizer/v3f_r4,0.8058
OTHarmonizer/v2f_r0,OTHarmonizer/v3f_r0,0.7476
OTHarmonizer/v2f_r0,OTHarmonizer/v3f_r1,0.8641
OTHarmonizer/v2f_r0,OTHarmonizer/v3f_r2,0.8155
OTHarmonizer/v2f_r0,OTHarmonizer/v3f_r3,0.8155
OTHarmonizer/v2f_r0,OTHarmonizer/v3f_r4,0.8058
OTHarmonizer/v2f_r1,OTHarmonizer/v3f_r0,0.7184
OTHarmonizer/v2f_r1,OTHarmonizer/v3f_r1,0.7961
OTHarmonizer/v2f_r1,OTHarmonizer/v3f_r2,0.7767
OTHarmonizer/v2f_r1,OTHarmonizer/v3f_r3,0.7573
OTHarmonizer/v2f_r1,OTHarmonizer/v3f_r4,0.7087
OTHarmonizer/v2f_r2,OTHarmonizer/v3f_r0,0.7961
OTHarmonizer/v2f_r2,OTHarmonizer/v3f_r1,0.7864
OTHarmonizer/v2f_r2,OTHarmonizer/v3f_r2,0.767
OTHarmonizer/v2f_r2,OTHarmonizer/v3f_r3,0.767
OTHarmonizer/v2f_r2,OTHarmonizer/v3f_r4,0.7961
OTHarmonizer/v2f_r3,OTHarmonizer/v3f_r0,0.767
OTHarmonizer/v2f_r3,OTHarmonizer/v3f_r1,0.7379
OTHarmonizer/v2f_r3,OTHarmonizer/v3f_r2,0.8252
OTHarmonizer/v2f_r3,OTHarmonizer/v3f_r3,0.7864
OTHarmonizer/v2f_r3,OTHarmonizer/v3f_r4,0.8058
OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r0,0.7961
OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r1,0.7864
OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r2,0.8155
OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r3,0.8155
OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r4,0.8155
