method,run,n_v3_labels,TRIP_REC_v3,COPH_v3,TRIP_REC_v3_common,COPH_v3_common
baseline,v3_input_tree,103,0.9192,0.4232,0.9192,0.4232
MetaArbor,current_assembly,103,0.9088,0.5006,0.9088,0.5006
OTHarmonizer,default,103,0.6156,0.7348,0.6156,0.7348
OTHarmonizer,seeded_v2f_a,103,0.652,0.7631,0.652,0.7631
OTHarmonizer,seeded_v2f_b,103,0.652,0.7631,0.652,0.7631
OTHarmonizer,seeded_v3f_a,103,0.634,0.7519,0.634,0.7519
OTHarmonizer,seeded_v3f_b,103,0.634,0.7519,0.634,0.7519
OTHarmonizer,v2_first,103,0.5977,0.7448,0.5977,0.7448
OTHarmonizer,v2f_r0,103,0.6866,0.8088,0.6866,0.8088
OTHarmonizer,v2f_r1,103,0.5703,0.7182,0.5703,0.7182
OTHarmonizer,v2f_r2,103,0.5634,0.6732,0.5634,0.6732
OTHarmonizer,v2f_r3,103,0.5559,0.7121,0.5559,0.7121
OTHarmonizer,v2f_r4,103,0.5786,0.7185,0.5786,0.7185
OTHarmonizer,v3_first,103,0.6053,0.7362,0.6053,0.7362
OTHarmonizer,v3f_r0,103,0.6573,0.7735,0.6573,0.7735
OTHarmonizer,v3f_r1,103,0.6104,0.7122,0.6104,0.7122
OTHarmonizer,v3f_r2,103,0.6637,0.7773,0.6637,0.7773
OTHarmonizer,v3f_r3,103,0.5473,0.6843,0.5473,0.6843
OTHarmonizer,v3f_r4,103,0.6251,0.7476,0.6251,0.7476
