"direction","query","outcome","true_id","sel_id","x","y","xend","yend"
"forward: 23 subclasses -> cluster tree","001 Car3 Glut","exact","subclass:001 Car3 Glut","0004 Car3 Glut_1",1,2,1,4
"forward: 23 subclasses -> cluster tree","003 L5/6 IT TPE-ENT Glut","exact","subclass:003 L5/6 IT TPE-ENT Glut","subclass:003 L5/6 IT TPE-ENT Glut",2.5,2,2.5,2
"forward: 23 subclasses -> cluster tree","004 L6 IT CTX Glut","exact","subclass:004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",9,2,9,2
"forward: 23 subclasses -> cluster tree","005 L5 IT CTX Glut","exact","subclass:005 L5 IT CTX Glut","subclass:005 L5 IT CTX Glut",16.5,2,16.5,2
"forward: 23 subclasses -> cluster tree","006 L4/5 IT CTX Glut","exact","subclass:006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",25,2,25,2
"forward: 23 subclasses -> cluster tree","007 L2/3 IT CTX Glut","exact","subclass:007 L2/3 IT CTX Glut","subclass:007 L2/3 IT CTX Glut",33.5,2,33.5,2
"forward: 23 subclasses -> cluster tree","022 L5 ET CTX Glut","exact","subclass:022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",38.5,2,38.5,2
"forward: 23 subclasses -> cluster tree","027 L6b CTX Glut","exact","subclass:027 L6b CTX Glut","subclass:027 L6b CTX Glut",42.5,2,42.5,2
"forward: 23 subclasses -> cluster tree","028 L6 CT CTX Glut","exact","subclass:028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",47.5,2,47.5,2
"forward: 23 subclasses -> cluster tree","030 L5 NP CTX Glut","exact","subclass:030 L5 NP CTX Glut","subclass:030 L5 NP CTX Glut",53.5,2,53.5,2
"forward: 23 subclasses -> cluster tree","036 Vip Gaba","exact","subclass:036 Vip Gaba","subclass:036 Vip Gaba",59.5,2,59.5,2
"forward: 23 subclasses -> cluster tree","037 Sncg Gaba","exact","subclass:037 Sncg Gaba","subclass:037 Sncg Gaba",65,2,65,2
"forward: 23 subclasses -> cluster tree","039 Lamp5 Gaba","adjacent_same_class","subclass:039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1",68.5,2,68,3
"forward: 23 subclasses -> cluster tree","041 Pvalb chandelier Gaba","exact","subclass:041 Pvalb chandelier Gaba","0605 Pvalb chandelier Gaba",71,2,71,4
"forward: 23 subclasses -> cluster tree","042 Pvalb Gaba","exact","subclass:042 Pvalb Gaba","subclass:042 Pvalb Gaba",75.5,2,75.5,2
"forward: 23 subclasses -> cluster tree","043 Sst Gaba","exact","subclass:043 Sst Gaba","subclass:043 Sst Gaba",86.5,2,86.5,2
"forward: 23 subclasses -> cluster tree","046 Sst Chodl Gaba","exact","subclass:046 Sst Chodl Gaba","0731 Sst Chodl Gaba_4",94,2,94,4
"forward: 23 subclasses -> cluster tree","287 Astro-TE NN","exact","subclass:287 Astro-TE NN","5113 Astro-TE NN_3",95,2,95,4
"forward: 23 subclasses -> cluster tree","294 OPC NN","exact","subclass:294 OPC NN","5146 OPC NN_1",96,2,96,4
"forward: 23 subclasses -> cluster tree","295 Oligo NN","exact","subclass:295 Oligo NN","subclass:295 Oligo NN",98.5,2,98.5,2
"forward: 23 subclasses -> cluster tree","299 Peri NN","exact","subclass:299 Peri NN","5182 Peri NN",101,2,101,4
"forward: 23 subclasses -> cluster tree","301 Endo NN","premature_stop","subclass:301 Endo NN","class:31 Vascular",102,2,101.5,1
"forward: 23 subclasses -> cluster tree","302 Microglia NN","exact","subclass:302 Microglia NN","5190 Microglia NN",103,2,103,4
"reverse: 103 clusters -> subclasses","0004 Car3 Glut_1","exact","0004 Car3 Glut_1","subclass:001 Car3 Glut",1,4,1,2
"reverse: 103 clusters -> subclasses","0026 L5/6 IT TPE-ENT Glut_2","exact","0026 L5/6 IT TPE-ENT Glut_2","subclass:003 L5/6 IT TPE-ENT Glut",2,4,2.5,2
"reverse: 103 clusters -> subclasses","0029 L5/6 IT TPE-ENT Glut_3","exact","0029 L5/6 IT TPE-ENT Glut_3","subclass:003 L5/6 IT TPE-ENT Glut",3,4,2.5,2
"reverse: 103 clusters -> subclasses","0034 L6 IT CTX Glut_1","premature_stop","0034 L6 IT CTX Glut_1",NA,4,4,52,0
"reverse: 103 clusters -> subclasses","0035 L6 IT CTX Glut_1","exact","0035 L6 IT CTX Glut_1","subclass:004 L6 IT CTX Glut",5,4,9,2
"reverse: 103 clusters -> subclasses","0036 L6 IT CTX Glut_1","exact","0036 L6 IT CTX Glut_1","subclass:004 L6 IT CTX Glut",6,4,9,2
"reverse: 103 clusters -> subclasses","0037 L6 IT CTX Glut_1","premature_stop","0037 L6 IT CTX Glut_1",NA,7,4,52,0
"reverse: 103 clusters -> subclasses","0038 L6 IT CTX Glut_2","premature_stop","0038 L6 IT CTX Glut_2",NA,8,4,52,0
"reverse: 103 clusters -> subclasses","0041 L6 IT CTX Glut_2","exact","0041 L6 IT CTX Glut_2","subclass:004 L6 IT CTX Glut",9,4,9,2
"reverse: 103 clusters -> subclasses","0042 L6 IT CTX Glut_2","premature_stop","0042 L6 IT CTX Glut_2",NA,10,4,52,0
"reverse: 103 clusters -> subclasses","0044 L6 IT CTX Glut_3","adjacent_same_class","0044 L6 IT CTX Glut_3","subclass:005 L5 IT CTX Glut",11,4,16.5,2
"reverse: 103 clusters -> subclasses","0049 L6 IT CTX Glut_4","premature_stop","0049 L6 IT CTX Glut_4",NA,12,4,52,0
"reverse: 103 clusters -> subclasses","0053 L6 IT CTX Glut_5","exact","0053 L6 IT CTX Glut_5","subclass:004 L6 IT CTX Glut",13,4,9,2
"reverse: 103 clusters -> subclasses","0054 L6 IT CTX Glut_5","adjacent_same_class","0054 L6 IT CTX Glut_5","subclass:003 L5/6 IT TPE-ENT Glut",14,4,2.5,2
"reverse: 103 clusters -> subclasses","0055 L5 IT CTX Glut_1","premature_stop","0055 L5 IT CTX Glut_1",NA,15,4,52,0
