"row","col","value"
"001 Car3 Glut","0004 Car3 Glut_1",1
"003 L5/6 IT TPE-ENT Glut","0004 Car3 Glut_1",0
"004 L6 IT CTX Glut","0004 Car3 Glut_1",0
"005 L5 IT CTX Glut","0004 Car3 Glut_1",0
"006 L4/5 IT CTX Glut","0004 Car3 Glut_1",0
"007 L2/3 IT CTX Glut","0004 Car3 Glut_1",0
"022 L5 ET CTX Glut","0004 Car3 Glut_1",0
"027 L6b CTX Glut","0004 Car3 Glut_1",0
"028 L6 CT CTX Glut","0004 Car3 Glut_1",0
"030 L5 NP CTX Glut","0004 Car3 Glut_1",0
"036 Vip Gaba","0004 Car3 Glut_1",0
"037 Sncg Gaba","0004 Car3 Glut_1",0
"039 Lamp5 Gaba","0004 Car3 Glut_1",0
"041 Pvalb chandelier Gaba","0004 Car3 Glut_1",0
"042 Pvalb Gaba","0004 Car3 Glut_1",0
"043 Sst Gaba","0004 Car3 Glut_1",0
"046 Sst Chodl Gaba","0004 Car3 Glut_1",0
"287 Astro-TE NN","0004 Car3 Glut_1",0
"294 OPC NN","0004 Car3 Glut_1",0
"295 Oligo NN","0004 Car3 Glut_1",0
"299 Peri NN","0004 Car3 Glut_1",0
"301 Endo NN","0004 Car3 Glut_1",0
"302 Microglia NN","0004 Car3 Glut_1",0
"001 Car3 Glut","0026 L5/6 IT TPE-ENT Glut_2",0
"003 L5/6 IT TPE-ENT Glut","0026 L5/6 IT TPE-ENT Glut_2",0.259259259259259
"004 L6 IT CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0.010077519379845
"005 L5 IT CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0.015970515970516
"006 L4/5 IT CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0.0121148274953911
"007 L2/3 IT CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0
"022 L5 ET CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0
"027 L6b CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0
"028 L6 CT CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0
"030 L5 NP CTX Glut","0026 L5/6 IT TPE-ENT Glut_2",0.000890471950133571
"036 Vip Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"037 Sncg Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"039 Lamp5 Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"041 Pvalb chandelier Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"042 Pvalb Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"043 Sst Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"046 Sst Chodl Gaba","0026 L5/6 IT TPE-ENT Glut_2",0
"287 Astro-TE NN","0026 L5/6 IT TPE-ENT Glut_2",0
"294 OPC NN","0026 L5/6 IT TPE-ENT Glut_2",0
"295 Oligo NN","0026 L5/6 IT TPE-ENT Glut_2",0
"299 Peri NN","0026 L5/6 IT TPE-ENT Glut_2",0
"301 Endo NN","0026 L5/6 IT TPE-ENT Glut_2",0
"302 Microglia NN","0026 L5/6 IT TPE-ENT Glut_2",0
"001 Car3 Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"003 L5/6 IT TPE-ENT Glut","0029 L5/6 IT TPE-ENT Glut_3",0.318930041152263
"004 L6 IT CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0.0166666666666667
"005 L5 IT CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0.0405405405405405
"006 L4/5 IT CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0.000263365815117198
"007 L2/3 IT CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"022 L5 ET CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"027 L6b CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"028 L6 CT CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"030 L5 NP CTX Glut","0029 L5/6 IT TPE-ENT Glut_3",0
"036 Vip Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"037 Sncg Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"039 Lamp5 Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"041 Pvalb chandelier Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"042 Pvalb Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"043 Sst Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"046 Sst Chodl Gaba","0029 L5/6 IT TPE-ENT Glut_3",0
"287 Astro-TE NN","0029 L5/6 IT TPE-ENT Glut_3",0
"294 OPC NN","0029 L5/6 IT TPE-ENT Glut_3",0
"295 Oligo NN","0029 L5/6 IT TPE-ENT Glut_3",0
"299 Peri NN","0029 L5/6 IT TPE-ENT Glut_3",0
"301 Endo NN","0029 L5/6 IT TPE-ENT Glut_3",0
"302 Microglia NN","0029 L5/6 IT TPE-ENT Glut_3",0
"001 Car3 Glut","0034 L6 IT CTX Glut_1",0
"003 L5/6 IT TPE-ENT Glut","0034 L6 IT CTX Glut_1",0
"004 L6 IT CTX Glut","0034 L6 IT CTX Glut_1",0.0406976744186047
"005 L5 IT CTX Glut","0034 L6 IT CTX Glut_1",0
"006 L4/5 IT CTX Glut","0034 L6 IT CTX Glut_1",0
"007 L2/3 IT CTX Glut","0034 L6 IT CTX Glut_1",0
"022 L5 ET CTX Glut","0034 L6 IT CTX Glut_1",0
"027 L6b CTX Glut","0034 L6 IT CTX Glut_1",0
