"row","col","value"
"0004 Car3 Glut_1","001 Car3 Glut",1
"0026 L5/6 IT TPE-ENT Glut_2","001 Car3 Glut",0
"0029 L5/6 IT TPE-ENT Glut_3","001 Car3 Glut",0
"0034 L6 IT CTX Glut_1","001 Car3 Glut",0
"0035 L6 IT CTX Glut_1","001 Car3 Glut",0
"0036 L6 IT CTX Glut_1","001 Car3 Glut",0
"0037 L6 IT CTX Glut_1","001 Car3 Glut",0
"0038 L6 IT CTX Glut_2","001 Car3 Glut",0.103960396039604
"0041 L6 IT CTX Glut_2","001 Car3 Glut",0.00333333333333333
"0042 L6 IT CTX Glut_2","001 Car3 Glut",0.133333333333333
"0044 L6 IT CTX Glut_3","001 Car3 Glut",0
"0049 L6 IT CTX Glut_4","001 Car3 Glut",0
"0053 L6 IT CTX Glut_5","001 Car3 Glut",0
"0054 L6 IT CTX Glut_5","001 Car3 Glut",0
"0055 L5 IT CTX Glut_1","001 Car3 Glut",0.39
"0056 L5 IT CTX Glut_1","001 Car3 Glut",0.0681818181818182
"0061 L5 IT CTX Glut_3","001 Car3 Glut",0.0266666666666667
"0065 L5 IT CTX Glut_5","001 Car3 Glut",0
"0069 L4/5 IT CTX Glut_1","001 Car3 Glut",0
"0072 L4/5 IT CTX Glut_1","001 Car3 Glut",0
"0075 L4/5 IT CTX Glut_2","001 Car3 Glut",0
"0076 L4/5 IT CTX Glut_2","001 Car3 Glut",0.0714285714285714
"0078 L4/5 IT CTX Glut_2","001 Car3 Glut",0
"0083 L4/5 IT CTX Glut_3","001 Car3 Glut",0
"0084 L4/5 IT CTX Glut_3","001 Car3 Glut",0
"0090 L4/5 IT CTX Glut_4","001 Car3 Glut",0
"0091 L4/5 IT CTX Glut_4","001 Car3 Glut",0
"0094 L4/5 IT CTX Glut_4","001 Car3 Glut",0
"0096 L4/5 IT CTX Glut_5","001 Car3 Glut",0
"0098 L4/5 IT CTX Glut_5","001 Car3 Glut",0.0162162162162162
"0099 L4/5 IT CTX Glut_5","001 Car3 Glut",0
"0104 L2/3 IT CTX Glut_1","001 Car3 Glut",0
"0105 L2/3 IT CTX Glut_1","001 Car3 Glut",0
"0106 L2/3 IT CTX Glut_1","001 Car3 Glut",0
"0109 L2/3 IT CTX Glut_2","001 Car3 Glut",0.00666666666666667
"0351 L5 ET CTX Glut_1","001 Car3 Glut",0
"0352 L5 ET CTX Glut_1","001 Car3 Glut",0
"0361 L5 ET CTX Glut_2","001 Car3 Glut",0
"0362 L5 ET CTX Glut_2","001 Car3 Glut",0
"0377 L5 ET CTX Glut_5","001 Car3 Glut",0
"0379 L5 ET CTX Glut_5","001 Car3 Glut",0
"0421 L6b CTX Glut_1","001 Car3 Glut",0
"0430 L6b CTX Glut_3","001 Car3 Glut",0
"0433 L6 CT CTX Glut_1","001 Car3 Glut",0
"0436 L6 CT CTX Glut_1","001 Car3 Glut",0
"0439 L6 CT CTX Glut_2","001 Car3 Glut",0
"0440 L6 CT CTX Glut_2","001 Car3 Glut",0
"0441 L6 CT CTX Glut_2","001 Car3 Glut",0
"0445 L6 CT CTX Glut_3","001 Car3 Glut",0
"0449 L6 CT CTX Glut_5","001 Car3 Glut",0
"0452 L6 CT CTX Glut_5","001 Car3 Glut",0
"0461 L5 NP CTX Glut_2","001 Car3 Glut",0
"0463 L5 NP CTX Glut_2","001 Car3 Glut",0
"0465 L5 NP CTX Glut_3","001 Car3 Glut",0
"0470 L5 NP CTX Glut_4","001 Car3 Glut",0
"0497 Vip Gaba_1","001 Car3 Glut",0
"0513 Vip Gaba_3","001 Car3 Glut",0
"0514 Vip Gaba_3","001 Car3 Glut",0
"0516 Vip Gaba_3","001 Car3 Glut",0
"0522 Vip Gaba_4","001 Car3 Glut",0
"0527 Vip Gaba_5","001 Car3 Glut",0
"0529 Vip Gaba_5","001 Car3 Glut",0
"0533 Vip Gaba_6","001 Car3 Glut",0
"0547 Sncg Gaba_6","001 Car3 Glut",0
"0553 Sncg Gaba_3","001 Car3 Glut",0
"0560 Sncg Gaba_4","001 Car3 Glut",0
"0580 Lamp5 Gaba_1","001 Car3 Glut",0
"0581 Lamp5 Gaba_1","001 Car3 Glut",0
"0582 Lamp5 Gaba_1","001 Car3 Glut",0
"0587 Lamp5 Gaba_2","001 Car3 Glut",0
"0605 Pvalb chandelier Gaba","001 Car3 Glut",0
"0607 Pvalb Gaba_1","001 Car3 Glut",0
