"condition","metric","value","label"
"random half-split","self-RBH recovery",1,"103/103"
"random half-split","median self-AUROC",0.998,"0.998"
"random half-split","forward family accuracy",0.91304347826087,"21/23"
"random half-split","reverse parent recovery",0.844660194174757,"87/103"
"random half-split","median sibling margin",0.013,"0.013"
"donor-held-out","self-RBH recovery",1,"100/100"
"donor-held-out","median self-AUROC",0.998,"0.998"
"donor-held-out","forward family accuracy",0.956521739130435,"22/23"
"donor-held-out","reverse parent recovery",0.83,"83/100"
"donor-held-out","median sibling margin",0.014,"0.014"
"10Xv2 vs 10Xv3","self-RBH recovery",0.970873786407767,"100/103"
"10Xv2 vs 10Xv3","median self-AUROC",0.998,"0.998"
"10Xv2 vs 10Xv3","forward family accuracy",0.91304347826087,"21/23"
"10Xv2 vs 10Xv3","reverse parent recovery",0.815533980582524,"84/103"
"10Xv2 vs 10Xv3","median sibling margin",0.012,"0.012"
