"setting","calibration","rho","alpha","model","lin_component","gw_component","median_row_entropy","mass","exact"
0,"raw",0.3,0,"gw_only",0.35169840557487,0.0246210837367866,1.60943379608557,0.977421107461747,0
1,"raw",0.3,0.1,"fugw",0.074256220170396,0.0269342738691898,1.55759583337944,0.971225936922412,10
2,"raw",0.3,0.25,"fugw",0.0535128044117838,0.0254524732490391,1.51710633987563,0.963606262090577,10
3,"raw",0.3,0.5,"fugw",0.0364854792099008,0.0224861629764606,1.60877227801258,0.946913873845103,10
4,"raw",0.3,0.75,"fugw",0.0209901580083378,0.0174468066042153,1.60502956830465,0.913608913902187,13
5,"raw",0.3,0.9,"fugw",0.0148211211264382,0.0137854481069795,1.38101397797602,0.84764821580684,14
6,"raw",0.3,1,"uot_molecular",0.0262004986177705,0.0205944515676151,1.60698352381042,0.92576577770857,10
7,"raw",1,0,"gw_only",0.380798847385806,0.0252152213462586,1.66403117866393,0.99351852530953,1
8,"raw",1,0.1,"fugw",0.0983132384387803,0.0268828406018002,1.58923533501216,0.991529528254877,9
9,"raw",1,0.25,"fugw",0.0754606576254406,0.0305581764948855,1.59348725489007,0.988093288442284,9
10,"raw",1,0.5,"fugw",0.0593149216385865,0.0295690554212735,1.57358943087719,0.98105912884972,10
11,"raw",1,0.75,"fugw",0.0400780595627877,0.0244991387178293,1.59444838005358,0.96422259602847,10
12,"raw",1,0.9,"fugw",0.0224456612357869,0.0190039434387197,1.60645655762792,0.929933059371267,12
13,"raw",1,1,"uot_molecular",0.0495057899741102,0.0278260072878389,1.60555429938332,0.967531328136123,9
14,"raw",3,0,"gw_only",0.380520067677182,0.0258464504461691,1.58698957291906,0.997820571704263,0
15,"raw",3,0.1,"fugw",0.105338752734856,0.027678608483938,1.5838606952867,0.997166092331528,8
16,"raw",3,0.25,"fugw",0.0875577598787286,0.0313272174000747,1.58877169581348,0.996057247197798,8
17,"raw",3,0.5,"fugw",0.0775833687173866,0.0318174772056954,1.57745359345484,0.993521126189252,9
18,"raw",3,0.75,"fugw",0.0610605453098341,0.0303869265511192,1.5634507093262,0.986355141781613,10
19,"raw",3,0.9,"fugw",0.0413884385490841,0.0255670329724951,1.59274830201856,0.969011139199739,9
20,"raw",3,1,"uot_molecular",0.0697950007897699,0.0345933225177841,1.7724067321124,0.986870601155307,8
21,"clip",0.3,0,"gw_only",0.319966368426247,0.0246210837367866,1.60943379608557,0.977421107461747,0
22,"clip",0.3,0.1,"fugw",0.0504283026247511,0.0246060937186108,1.41133842092917,0.97387855752767,9
23,"clip",0.3,0.25,"fugw",0.0255973925939007,0.0243753234002608,1.57934546765208,0.967074172553905,9
24,"clip",0.3,0.5,"fugw",0.012734923756956,0.0226874263607546,1.60646855528941,0.957193356987254,8
25,"clip",0.3,0.75,"fugw",0.0045972033275782,0.0207880107019147,1.60943325645839,0.944729812446672,8
26,"clip",0.3,0.9,"fugw",0.00211531210224348,0.0194974960567686,1.60924310151904,0.932704918145235,9
27,"clip",0.3,1,"uot_molecular",0.00800223269830614,0.0241940963097704,1.60943791325366,0.963353363932293,7
28,"clip",1,0,"gw_only",0.349990572409491,0.0252152213462586,1.66403117866393,0.99351852530953,1
29,"clip",1,0.1,"fugw",0.070842657540259,0.0265433445745085,1.58182949319761,0.991928488779838,9
30,"clip",1,0.25,"fugw",0.0508414018119963,0.0299334454674072,1.58747379720468,0.989337595691176,8
31,"clip",1,0.5,"fugw",0.0341443569280048,0.0295304530801606,1.56095024726187,0.984185708810712,8
32,"clip",1,0.75,"fugw",0.0177625389032227,0.0258097580609382,1.58831720064239,0.974419697753607,9
33,"clip",1,0.9,"fugw",0.00519236946428207,0.0218352590180384,1.60943751606001,0.959197926192804,7
34,"clip",1,1,"uot_molecular",0.0250839790541353,0.0301091688474644,1.7806778776619,0.979988115027304,6
35,"clip",3,0,"gw_only",0.350566312402929,0.0258464504461691,1.58698957291906,0.997820571704263,0
36,"clip",3,0.1,"fugw",0.0780022090521999,0.027674370906281,1.58467033745094,0.997295631411243,8
37,"clip",3,0.25,"fugw",0.0607751451405497,0.0311854259393936,1.59601910484262,0.996415278874991,9
38,"clip",3,0.5,"fugw",0.0521645389210081,0.0328267784789418,1.59070762480568,0.994527869097316,7
39,"clip",3,0.75,"fugw",0.0367093226815675,0.0322533302783714,1.58118893599525,0.989587335611078,8
40,"clip",3,0.9,"fugw",0.0182374737223708,0.0263206440470218,1.58944314960076,0.979045204310478,9
41,"clip",3,1,"uot_molecular",0.0451318731693862,0.0376605296859223,1.91679538980744,0.991033629314908,4
