"calibration","rho","alpha","model","argmax","confident","cross_family","singleton_argmax","singleton_med_ratio"
"raw",0.3,0,"gw_only",4,0,19,1,5.65
"raw",0.3,0.1,"fugw",23,20,0,8,1
"raw",0.3,0.25,"fugw",23,20,0,8,1
"raw",0.3,0.5,"fugw",23,20,0,8,1
"raw",0.3,0.75,"fugw",23,19,0,8,1
"raw",0.3,0.9,"fugw",23,21,0,8,1
"raw",0.3,1,"uot_molecular",23,19,0,8,1
"raw",1,0,"gw_only",2,1,21,1,1
"raw",1,0.1,"fugw",23,20,0,8,1
"raw",1,0.25,"fugw",23,20,0,8,1
"raw",1,0.5,"fugw",23,20,0,8,1
"raw",1,0.75,"fugw",23,20,0,8,1
"raw",1,0.9,"fugw",23,19,0,8,1
"raw",1,1,"uot_molecular",23,20,0,8,1
"raw",3,0,"gw_only",4,0,19,1,5.58
"raw",3,0.1,"fugw",23,20,0,8,1
"raw",3,0.25,"fugw",23,20,0,8,1
"raw",3,0.5,"fugw",23,20,0,8,1
"raw",3,0.75,"fugw",23,20,0,8,1
"raw",3,0.9,"fugw",23,20,0,8,1
"raw",3,1,"uot_molecular",23,20,0,8,1.1
"clip",0.3,0,"gw_only",4,0,19,1,5.65
"clip",0.3,0.1,"fugw",23,20,0,8,1
"clip",0.3,0.25,"fugw",21,18,2,6,1
"clip",0.3,0.5,"fugw",21,18,2,6,1
"clip",0.3,0.75,"fugw",21,18,2,6,1
"clip",0.3,0.9,"fugw",20,16,3,6,1
"clip",0.3,1,"uot_molecular",19,7,4,5,2.85
"clip",1,0,"gw_only",2,1,21,1,1
"clip",1,0.1,"fugw",23,20,0,8,1
"clip",1,0.25,"fugw",21,18,2,6,1
"clip",1,0.5,"fugw",21,18,2,6,1
"clip",1,0.75,"fugw",21,18,2,6,1
"clip",1,0.9,"fugw",20,18,3,6,1
"clip",1,1,"uot_molecular",19,7,4,5,3.22
"clip",3,0,"gw_only",4,0,19,1,5.58
"clip",3,0.1,"fugw",23,20,0,8,1
"clip",3,0.25,"fugw",21,18,2,6,1
"clip",3,0.5,"fugw",21,18,2,6,1
"clip",3,0.75,"fugw",21,18,2,6,1
"clip",3,0.9,"fugw",21,18,2,6,1
"clip",3,1,"uot_molecular",19,5,4,5,3.73
