"setting","calibration","rho","alpha","model","query","argmax_correct","true_mass","fam_margin","H_family","H_within","eff_leaves","n_true","eff_ratio","category","scheme"
0,"raw",0.3,0,"gw_only","001 Car3 Glut",FALSE,0,0.958098485055577,0.143790233056727,NA,9.87380782305593,1,9.87380782305593,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","003 L5/6 IT TPE-ENT Glut",FALSE,0,1,0,NA,4.99997941806421,2,2.4999897090321,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","004 L6 IT CTX Glut",FALSE,0.0146669662127619,0.958098485055577,0.143790233056727,1.20253770957211e-07,9.87380782305593,11,0.897618893005084,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","005 L5 IT CTX Glut",FALSE,0,1,0,NA,4.99987786464526,4,1.24996946616132,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","006 L4/5 IT CTX Glut",FALSE,0,0.653406540747983,0.461075280166624,NA,4.9884175164467,13,0.383724424342054,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","007 L2/3 IT CTX Glut",FALSE,0,1,0,NA,5.8058027252171,4,1.45145068130427,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","022 L5 ET CTX Glut",FALSE,0.152010877559297,0.695978244881406,0.42618135872868,0.693147179789313,5.51300479040882,6,0.918834131734803,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","027 L6b CTX Glut",FALSE,0,1,0,NA,9.98169945302388,2,4.99084972651194,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","028 L6 CT CTX Glut",FALSE,0,1,0,NA,5.9341149927371,8,0.741764374092137,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","030 L5 NP CTX Glut",FALSE,0,1,0,NA,9.98169945302388,4,2.49542486325597,"cross_family_failure","uniform"
0,"raw",0.3,0,"gw_only","036 Vip Gaba",FALSE,0,1,0,NA,4.73037239210593,8,0.591296549013242,"cross_family_failure","uniform"
