"scheme","calibration","rho","alpha","model","argmax","confident","cross_family","singleton_argmax","singleton_med_ratio"
"abundance","raw",0.3,0,"gw_only",8,5,15,1,1
"hierarchy","raw",0.3,0,"gw_only",3,2,20,0,3.5
"uniform","raw",0.3,0,"gw_only",0,0,23,0,5.75
"abundance","raw",0.3,0.1,"fugw",12,7,11,1,1.39
"hierarchy","raw",0.3,0.1,"fugw",23,23,0,8,1
"uniform","raw",0.3,0.1,"fugw",13,10,10,1,4.3
"abundance","raw",0.3,0.25,"fugw",13,9,10,2,1.81
"hierarchy","raw",0.3,0.25,"fugw",23,20,0,8,1
"uniform","raw",0.3,0.25,"fugw",16,10,7,2,3.99
"abundance","raw",0.3,0.5,"fugw",14,10,9,2,1.64
"hierarchy","raw",0.3,0.5,"fugw",23,20,0,8,1
"uniform","raw",0.3,0.5,"fugw",17,10,6,4,3.26
"abundance","raw",0.3,0.75,"fugw",18,13,5,5,1.76
"hierarchy","raw",0.3,0.75,"fugw",23,20,0,8,1
"uniform","raw",0.3,0.75,"fugw",19,13,4,5,2.25
"abundance","raw",0.3,0.9,"fugw",19,14,4,6,1.64
"hierarchy","raw",0.3,0.9,"fugw",23,21,0,8,1
"uniform","raw",0.3,0.9,"fugw",21,14,2,6,1.49
"abundance","raw",0.3,1,"uot_molecular",16,11,7,3,1.34
"hierarchy","raw",0.3,1,"uot_molecular",23,19,0,8,1
"uniform","raw",0.3,1,"uot_molecular",17,10,6,4,2.6
"abundance","raw",1,0,"gw_only",3,2,20,0,1.97
"hierarchy","raw",1,0,"gw_only",2,2,21,1,1.5
"uniform","raw",1,0,"gw_only",1,1,22,0,4.94
"abundance","raw",1,0.1,"fugw",14,8,9,3,1.94
"hierarchy","raw",1,0.1,"fugw",23,23,0,8,1
"uniform","raw",1,0.1,"fugw",11,9,12,0,4.84
"abundance","raw",1,0.25,"fugw",14,8,9,2,1
"hierarchy","raw",1,0.25,"fugw",23,20,0,8,1
"uniform","raw",1,0.25,"fugw",15,9,8,1,4.9
"abundance","raw",1,0.5,"fugw",14,8,9,3,1.14
"hierarchy","raw",1,0.5,"fugw",23,20,0,8,1
"uniform","raw",1,0.5,"fugw",15,10,8,2,4.26
"abundance","raw",1,0.75,"fugw",14,9,9,3,1.32
"hierarchy","raw",1,0.75,"fugw",23,20,0,8,1
"uniform","raw",1,0.75,"fugw",16,10,7,3,3.63
"abundance","raw",1,0.9,"fugw",16,12,7,3,1.79
"hierarchy","raw",1,0.9,"fugw",23,19,0,8,1
"uniform","raw",1,0.9,"fugw",17,12,6,4,2.21
"abundance","raw",1,1,"uot_molecular",15,6,8,4,1.38
"hierarchy","raw",1,1,"uot_molecular",23,20,0,8,1.01
"uniform","raw",1,1,"uot_molecular",16,9,7,3,4.59
"abundance","raw",3,0,"gw_only",3,2,20,1,2.45
"hierarchy","raw",3,0,"gw_only",2,0,21,0,3.89
"uniform","raw",3,0,"gw_only",1,0,22,0,4.9
"abundance","raw",3,0.1,"fugw",12,7,11,2,2.07
"hierarchy","raw",3,0.1,"fugw",23,23,0,8,1
"uniform","raw",3,0.1,"fugw",10,8,13,0,4.88
"abundance","raw",3,0.25,"fugw",14,7,9,3,1.3
"hierarchy","raw",3,0.25,"fugw",23,20,0,8,1
"uniform","raw",3,0.25,"fugw",14,8,9,2,4.88
"abundance","raw",3,0.5,"fugw",13,7,10,2,1.41
"hierarchy","raw",3,0.5,"fugw",23,20,0,8,1
"uniform","raw",3,0.5,"fugw",16,9,7,2,4.78
"abundance","raw",3,0.75,"fugw",14,6,9,3,1.45
"hierarchy","raw",3,0.75,"fugw",23,20,0,8,1
"uniform","raw",3,0.75,"fugw",16,10,7,2,4.35
"abundance","raw",3,0.9,"fugw",14,7,9,3,1.36
"hierarchy","raw",3,0.9,"fugw",23,20,0,8,1
"uniform","raw",3,0.9,"fugw",17,9,6,4,3.55
"abundance","raw",3,1,"uot_molecular",15,5,8,4,1.84
"hierarchy","raw",3,1,"uot_molecular",23,20,0,8,1.12
"uniform","raw",3,1,"uot_molecular",15,8,8,1,6.31
"abundance","clip",0.3,0,"gw_only",8,5,15,1,1
"hierarchy","clip",0.3,0,"gw_only",3,2,20,0,3.5
"uniform","clip",0.3,0,"gw_only",0,0,23,0,5.75
"abundance","clip",0.3,0.1,"fugw",11,8,12,1,1
"hierarchy","clip",0.3,0.1,"fugw",21,21,2,6,1
"uniform","clip",0.3,0.1,"fugw",11,9,12,0,4
