"calibration","rho","alpha","model","exact_thresh090","argmax_correct","confident","underconf","diffuse","cross_family","med_true_mass","med_eff_ratio"
"clip",0.3,0,"gw_only",0,0,0,0,0,23,NA,1.45
"clip",0.3,0.1,"fugw",9,11,9,1,1,12,1,1.25
"clip",0.3,0.25,"fugw",9,14,9,3,2,9,1,1.45
"clip",0.3,0.5,"fugw",8,13,9,3,1,10,1,1.42
"clip",0.3,0.75,"fugw",8,13,9,2,2,10,1,1.25
"clip",0.3,0.9,"fugw",9,13,9,4,0,10,1,1.25
"clip",0.3,1,"uot_molecular",7,13,7,4,2,10,0.91,1.27
"clip",1,0,"gw_only",1,1,1,0,0,22,1,1.99
"clip",1,0.1,"fugw",9,10,9,1,0,13,1,1.24
"clip",1,0.25,"fugw",8,15,8,4,3,8,0.997,1.25
"clip",1,0.5,"fugw",8,14,8,4,2,9,1,1.33
"clip",1,0.75,"fugw",9,14,9,3,2,9,0.991,1.41
"clip",1,0.9,"fugw",7,12,8,3,1,11,1,1.25
"clip",1,1,"uot_molecular",6,12,6,5,1,11,0.897,1.48
"clip",3,0,"gw_only",0,1,0,1,0,22,0.676,1.61
"clip",3,0.1,"fugw",8,10,8,2,0,13,1,1.32
"clip",3,0.25,"fugw",9,14,9,3,2,9,0.931,1.24
"clip",3,0.5,"fugw",7,15,7,5,3,8,0.882,1.25
"clip",3,0.75,"fugw",8,13,8,4,1,10,0.99,1.31
"clip",3,0.9,"fugw",9,14,9,3,2,9,0.983,1.4
"clip",3,1,"uot_molecular",4,13,4,7,2,10,0.795,1.89
"raw",0.3,0,"gw_only",0,0,0,0,0,23,NA,1.45
"raw",0.3,0.1,"fugw",10,13,10,2,1,10,1,1.3
"raw",0.3,0.25,"fugw",10,16,10,2,4,7,1,1.33
"raw",0.3,0.5,"fugw",10,17,10,6,1,6,1,1.36
"raw",0.3,0.75,"fugw",13,19,13,3,3,4,1,1
"raw",0.3,0.9,"fugw",14,21,14,4,3,2,1,1
"raw",0.3,1,"uot_molecular",10,17,10,6,1,6,0.996,1.25
"raw",1,0,"gw_only",1,1,1,0,0,22,1,1.99
"raw",1,0.1,"fugw",9,11,9,2,0,12,1,1.36
"raw",1,0.25,"fugw",9,15,9,3,3,8,1,1.3
"raw",1,0.5,"fugw",10,15,10,2,3,8,1,1.26
"raw",1,0.75,"fugw",10,16,10,2,4,7,1,1.41
"raw",1,0.9,"fugw",12,17,12,4,1,6,1,1.23
"raw",1,1,"uot_molecular",9,16,9,3,4,7,0.972,1.41
"raw",3,0,"gw_only",0,1,0,1,0,22,0.676,1.61
"raw",3,0.1,"fugw",8,10,8,2,0,13,1,1.32
"raw",3,0.25,"fugw",8,14,8,4,2,9,0.931,1.25
"raw",3,0.5,"fugw",9,16,9,3,4,7,0.972,1.25
"raw",3,0.75,"fugw",10,16,10,2,4,7,1,1.3
"raw",3,0.9,"fugw",9,17,9,3,5,6,0.993,1.42
"raw",3,1,"uot_molecular",8,15,8,4,3,8,0.905,1.44
