edge,length
0004 Car3 Glut_1,0.3812803731218246
0026 L5/6 IT TPE-ENT Glut_2,0.2643084222790316
0029 L5/6 IT TPE-ENT Glut_3,0.29678939120624104
0034 L6 IT CTX Glut_1,0.18567128815515038
0035 L6 IT CTX Glut_1,0.1803358713593951
0036 L6 IT CTX Glut_1,0.1875237183148563
0037 L6 IT CTX Glut_1,0.1596094853454791
0038 L6 IT CTX Glut_2,0.17401008688493844
0041 L6 IT CTX Glut_2,0.1740550913919355
0042 L6 IT CTX Glut_2,0.1842379511126121
0044 L6 IT CTX Glut_3,0.2417771308206415
0049 L6 IT CTX Glut_4,0.29730252683031255
0053 L6 IT CTX Glut_5,0.26240044358303294
0054 L6 IT CTX Glut_5,0.23913344015529853
0055 L5 IT CTX Glut_1,0.1708015675248264
0056 L5 IT CTX Glut_1,0.14858910490146937
0061 L5 IT CTX Glut_3,0.27514793516149183
0065 L5 IT CTX Glut_5,0.26484415908370007
0069 L4/5 IT CTX Glut_1,0.11121083879076596
0072 L4/5 IT CTX Glut_1,0.11706169134528968
0075 L4/5 IT CTX Glut_2,0.15651727492682624
0076 L4/5 IT CTX Glut_2,0.15647789180800314
0078 L4/5 IT CTX Glut_2,0.14392921587150082
0083 L4/5 IT CTX Glut_3,0.24825767171615054
0084 L4/5 IT CTX Glut_3,0.2470576385526599
0090 L4/5 IT CTX Glut_4,0.2407917003126249
0091 L4/5 IT CTX Glut_4,0.21706224727474951
0094 L4/5 IT CTX Glut_4,0.22950970480310576
0096 L4/5 IT CTX Glut_5,0.13109582536388958
0098 L4/5 IT CTX Glut_5,0.1280042381096125
0099 L4/5 IT CTX Glut_5,0.12531850570829023
0104 L2/3 IT CTX Glut_1,0.17277601006691856
0105 L2/3 IT CTX Glut_1,0.16236561050927945
0106 L2/3 IT CTX Glut_1,0.17464092059477068
0109 L2/3 IT CTX Glut_2,0.22202530193117687
0351 L5 ET CTX Glut_1,0.15342224594000142
0352 L5 ET CTX Glut_1,0.17885738339232954
0361 L5 ET CTX Glut_2,0.22143729304965337
0362 L5 ET CTX Glut_2,0.21478919918474446
0377 L5 ET CTX Glut_5,0.13221950655641973
0379 L5 ET CTX Glut_5,0.13264552893009282
0421 L6b CTX Glut_1,0.18818877779827245
0430 L6b CTX Glut_3,0.2019124757285107
0433 L6 CT CTX Glut_1,0.1000327559020707
0436 L6 CT CTX Glut_1,0.12220813102926752
0439 L6 CT CTX Glut_2,0.16810379199346487
0440 L6 CT CTX Glut_2,0.17779252069966486
0441 L6 CT CTX Glut_2,0.1621584309945991
0445 L6 CT CTX Glut_3,0.2194817547102378
0449 L6 CT CTX Glut_5,0.1910566201315778
0452 L6 CT CTX Glut_5,0.17801641034169413
0461 L5 NP CTX Glut_2,0.1791693191155076
0463 L5 NP CTX Glut_2,0.18868940238535942
0465 L5 NP CTX Glut_3,0.20684044001843577
0470 L5 NP CTX Glut_4,0.17911574669179564
0497 Vip Gaba_1,0.2612222118278986
0513 Vip Gaba_3,0.2054438047206337
0514 Vip Gaba_3,0.21726034428232127
0516 Vip Gaba_3,0.19767736106665987
0522 Vip Gaba_4,0.24908167966043968
0527 Vip Gaba_5,0.17024453214234164
0529 Vip Gaba_5,0.18824629891298883
0533 Vip Gaba_6,0.2721671928178475
0547 Sncg Gaba_6,0.23938472093176968
0553 Sncg Gaba_3,0.24744903792130224
0560 Sncg Gaba_4,0.265127202066398
0580 Lamp5 Gaba_1,0.1503827024398293
0581 Lamp5 Gaba_1,0.1632848131440104
0582 Lamp5 Gaba_1,0.15768256742144915
0587 Lamp5 Gaba_2,0.30808801636857247
0605 Pvalb chandelier Gaba,0.38050772456352416
0607 Pvalb Gaba_1,0.25028150718068065
0618 Pvalb Gaba_3,0.18346043801181114
0619 Pvalb Gaba_3,0.1480419805087782
0620 Pvalb Gaba_8,0.23332997705519323
0621 Pvalb Gaba_3,0.15177611693593093
0624 Pvalb Gaba_4,0.16874258219113367
0625 Pvalb Gaba_5,0.2220699651306116
0628 Pvalb Gaba_4,0.17564340217218977
0631 Sst Gaba_13,0.26002957264910825
0638 Sst Gaba_1,0.26577585644319646
0641 Sst Gaba_12,0.27012428794692733
0664 Sst Gaba_4,0.1932052228096517
0665 Sst Gaba_11,0.2777372570442167
0666 Sst Gaba_4,0.19949929757127213
0668 Sst Gaba_4,0.21255781436786386
0669 Sst Gaba_4,0.19694064974122394
0673 Sst Gaba_16,0.26509004523942004
0675 Sst Gaba_5,0.18061942414281687
0677 Sst Gaba_5,0.1927823659667399
0688 Sst Gaba_7,0.27815232992898414
0695 Sst Gaba_10,0.2670117234222074
0697 Sst Gaba_8,0.2588202448021943
0731 Sst Chodl Gaba_4,0.47910538305190153
5113 Astro-TE NN_3,0.6806091107886252
5146 OPC NN_1,0.3808653594222846
5150 COP NN,0.19873567334425735
5152 COP NN,0.1935318781728888
5155 MFOL NN,0.3178026708885025
5158 MOL NN,0.2954782654598
5182 Peri NN,0.3551785597540349
5188 Endo NN,0.3611277896878843
5190 Microglia NN,0.6432317959800042
class:01 IT-ET Glut,0.1651830223070179
class:02 NP-CT-L6b Glut,0.06178233024916162
class:04 CGE GABA,0.11430073174770307
class:05 MGE GABA,0.14662983425522733
class:29 Oligo,0.24997887029650853
class:31 Vascular,0.32134740352813157
subclass:003 L5/6 IT TPE-ENT Glut,0.04418013395802959
subclass:004 L6 IT CTX Glut,0.07451460539832759
subclass:005 L5 IT CTX Glut,0.04397031832351127
subclass:006 L4/5 IT CTX Glut,0.08452108769195071
subclass:007 L2/3 IT CTX Glut,0.11182324076479765
subclass:022 L5 ET CTX Glut,0.14023755965533374
subclass:027 L6b CTX Glut,0.16396433979070532
subclass:028 L6 CT CTX Glut,0.1309148876978219
subclass:030 L5 NP CTX Glut,0.16265562322607457
subclass:036 Vip Gaba,0.10248471776069253
subclass:037 Sncg Gaba,0.12485111858834606
subclass:039 Lamp5 Gaba,0.02037093744891795
subclass:042 Pvalb Gaba,0.12962105489793777
subclass:043 Sst Gaba,0.06717648716760624
subclass:295 Oligo NN,0.13853628895767967
supertype:0013 L6 IT CTX Glut_1,0.10452273043844816
supertype:0014 L6 IT CTX Glut_2,0.08690692024970428
