query,walk_selected,walk_depth,walk_parent,walk_auroc,walk_best_sib_auroc,walk_second_sib_auroc,walk_sib_delta,walk_vote,walk_override,walk_decision_support,walk_relation,transport_family,transport_node,transport_mass,transport_eff_leaves,transport_bin,agreement
001 Car3 Glut,0004 Car3 Glut_1,4,supertype:0001 Car3 Glut_1,1.0,1.0,0.5012171985210364,nan,1.0,True,nan,leaf,001 Car3 Glut,subclass:001 Car3 Glut,0.9118548930997383,1.3474651236070494,confident,same_branch_different_depth
003 L5/6 IT TPE-ENT Glut,subclass:003 L5/6 IT TPE-ENT Glut,2,class:01 IT-ET Glut,0.983837949591004,0.9569623142441825,0.9511790492437049,0.005119406826573363,0.31893004115226337,False,0.83,family,003 L5/6 IT TPE-ENT Glut,subclass:003 L5/6 IT TPE-ENT Glut,0.5619280003632545,4.0398083695415,moderate,agree
004 L6 IT CTX Glut,subclass:004 L6 IT CTX Glut,2,class:01 IT-ET Glut,0.9713155818846434,0.9294867419066497,0.965160076902789,-0.03566816080527547,0.48410852713178293,False,1.0,family,004 L6 IT CTX Glut,subclass:004 L6 IT CTX Glut,0.9070498263326293,9.113029389309581,confident,agree
005 L5 IT CTX Glut,subclass:005 L5 IT CTX Glut,2,class:01 IT-ET Glut,0.9481556643369093,0.8860360341092473,0.7244543363208963,0.16089158232438003,0.48894348894348894,False,1.0,family,005 L5 IT CTX Glut,subclass:005 L5 IT CTX Glut,0.5609583719380004,3.294025427370578,moderate,agree
006 L4/5 IT CTX Glut,subclass:006 L4/5 IT CTX Glut,2,class:01 IT-ET Glut,0.9907768772598539,0.9440834372309311,0.9508981177921266,-0.006562131592380065,0.2728469844614169,False,1.0,family,006 L4/5 IT CTX Glut,subclass:006 L4/5 IT CTX Glut,1.0000000000000002,8.457607965194978,confident,agree
007 L2/3 IT CTX Glut,subclass:007 L2/3 IT CTX Glut,2,class:01 IT-ET Glut,0.9966425329947408,0.9875993362616641,0.9920428525170288,-0.004379879441050279,0.6233303650934996,False,1.0,family,007 L2/3 IT CTX Glut,subclass:007 L2/3 IT CTX Glut,0.9637307211669903,3.8998522962415,confident,agree
022 L5 ET CTX Glut,subclass:022 L5 ET CTX Glut,2,class:01 IT-ET Glut,0.9999511934103782,0.9999263816289213,0.9998032909862792,0.00012246777615270655,0.43316831683168316,False,1.0,family,022 L5 ET CTX Glut,subclass:022 L5 ET CTX Glut,1.0,5.982825252297699,confident,agree
027 L6b CTX Glut,subclass:027 L6b CTX Glut,2,class:02 NP-CT-L6b Glut,0.9996075504726818,0.9993735326914299,0.9995653162417223,-0.0001884110038918685,0.5055147058823529,False,1.0,family,027 L6b CTX Glut,subclass:027 L6b CTX Glut,0.9083133764239552,2.5495257060221106,confident,agree
028 L6 CT CTX Glut,subclass:028 L6 CT CTX Glut,2,class:02 NP-CT-L6b Glut,0.9988125229877184,0.9968054968167637,0.975100402295643,0.021687525860405992,0.4116766467065868,False,1.0,family,028 L6 CT CTX Glut,subclass:028 L6 CT CTX Glut,1.0,6.791346125989856,confident,agree
030 L5 NP CTX Glut,subclass:030 L5 NP CTX Glut,2,class:02 NP-CT-L6b Glut,0.9995096111787223,0.9991188392300173,0.9997809959408357,-0.0006878649217316679,0.5057880676758683,False,1.0,family,030 L5 NP CTX Glut,subclass:030 L5 NP CTX Glut,1.0000000000000002,3.778192531497229,confident,agree
036 Vip Gaba,subclass:036 Vip Gaba,2,class:04 CGE GABA,0.9994748935110825,0.9994558088756724,0.9985574917387338,0.0009057008075293232,0.3454404945904173,False,1.0,family,036 Vip Gaba,subclass:036 Vip Gaba,1.0,7.315109948881207,confident,agree
037 Sncg Gaba,subclass:037 Sncg Gaba,2,class:04 CGE GABA,0.9999872918094497,0.999813797381936,0.9998776145996997,-8.732295004178325e-05,0.35406698564593303,False,1.0,family,037 Sncg Gaba,subclass:037 Sncg Gaba,0.9999999999999999,2.9998471771623474,confident,agree
039 Lamp5 Gaba,supertype:0148 Lamp5 Gaba_1,3,subclass:039 Lamp5 Gaba,0.9996552677337018,0.9995822992368347,0.9989949404496825,0.0005819495898518512,0.3707627118644068,False,1.0,family,039 Lamp5 Gaba,subclass:039 Lamp5 Gaba,1.0,3.831129567522702,confident,same_branch_different_depth
041 Pvalb chandelier Gaba,0605 Pvalb chandelier Gaba,4,supertype:0153 Pvalb chandelier Gaba,0.9999991167014097,0.9999991167014097,0.9471834552285388,nan,0.9935483870967742,True,nan,leaf,041 Pvalb chandelier Gaba,subclass:041 Pvalb chandelier Gaba,1.0,1.0,confident,same_branch_different_depth
042 Pvalb Gaba,subclass:042 Pvalb Gaba,2,class:05 MGE GABA,0.9983636412274526,0.9952757136558711,0.9917947701122531,0.0034752918189847708,0.46869983948635635,False,1.0,family,042 Pvalb Gaba,subclass:042 Pvalb Gaba,1.0,7.0185532380766835,confident,agree
043 Sst Gaba,subclass:043 Sst Gaba,2,class:05 MGE GABA,0.9971563363127536,0.9969770216852668,0.9915950521259935,0.005375793149047126,0.36674917491749176,False,1.0,family,043 Sst Gaba,subclass:043 Sst Gaba,1.0,12.452875178639324,confident,agree
046 Sst Chodl Gaba,0731 Sst Chodl Gaba_4,4,supertype:0177 Sst Chodl Gaba_4,1.0,1.0,0.17687989415199834,nan,1.0,True,nan,leaf,046 Sst Chodl Gaba,class:06 CNU GABA,1.0,1.0,confident,same_branch_different_depth
287 Astro-TE NN,5113 Astro-TE NN_3,4,supertype:1007 Astro-TE NN_3,1.0,1.0,0.17471115338406087,nan,1.0,True,nan,leaf,287 Astro-TE NN,class:28 Astro-Epen,1.0,1.0,confident,same_branch_different_depth
294 OPC NN,5146 OPC NN_1,4,supertype:1023 OPC NN_1,1.0,1.0,0.9798978576132066,nan,1.0,True,nan,leaf,294 OPC NN,subclass:294 OPC NN,0.9976507464983395,1.01670607988336,confident,same_branch_different_depth
295 Oligo NN,subclass:295 Oligo NN,2,class:29 Oligo,0.9998924576078745,0.9997869146758946,0.992246379191904,0.007527555417180222,0.5900621118012422,False,1.0,family,295 Oligo NN,subclass:295 Oligo NN,1.0,3.6050873339755034,confident,agree
299 Peri NN,5182 Peri NN,4,supertype:1035 Peri NN,0.999995570644892,0.999995570644892,0.9840310674967279,nan,1.0,True,nan,leaf,299 Peri NN,subclass:299 Peri NN,1.0,1.0,confident,same_branch_different_depth
301 Endo NN,class:31 Vascular,1,root,0.9974830239761048,0.9996988273117188,0.9894355058229785,0.010038471937142725,0.898989898989899,False,0.55,family,301 Endo NN,subclass:301 Endo NN,1.0,1.0,confident,same_branch_different_depth
