query,walk_selected,walk_depth,walk_parent,walk_auroc,walk_best_sib_auroc,walk_second_sib_auroc,walk_sib_delta,walk_vote,walk_override,walk_decision_support,walk_relation,transport_family,transport_node,transport_mass,transport_eff_leaves,transport_bin,agreement
0004 Car3 Glut_1,001 Car3 Glut,1,root,1.0,1.0,0.4214797097597706,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0026 L5/6 IT TPE-ENT Glut_2,003 L5/6 IT TPE-ENT Glut,1,root,0.9387570112669714,0.9387570112669714,0.30897246395254363,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0029 L5/6 IT TPE-ENT Glut_3,003 L5/6 IT TPE-ENT Glut,1,root,0.9742966566696203,0.9742966566696203,0.9431616795037829,nan,0.9411764705882353,True,nan,leaf,,,nan,nan,unmatched,walk_only
0034 L6 IT CTX Glut_1,,nan,,nan,0.9494688130753705,0.9531014621178555,-0.003440611923398808,0.8166666666666667,False,1.0,discordant,,,nan,nan,unmatched,both_unmatched
0035 L6 IT CTX Glut_1,004 L6 IT CTX Glut,1,root,0.9461173081017937,0.9461173081017937,0.9049189844416344,0.041081061951534596,0.7049180327868853,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0036 L6 IT CTX Glut_1,004 L6 IT CTX Glut,1,root,0.9784030790185699,0.9784030790185699,0.919480024625324,0.058583923018848606,0.7450980392156863,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0037 L6 IT CTX Glut_1,,nan,,nan,0.953264537803844,0.9502781416096812,0.003066302470709429,0.7692307692307693,False,0.91,discordant,,,nan,nan,unmatched,both_unmatched
0038 L6 IT CTX Glut_2,,nan,,nan,0.9360976016956535,0.9645455271333585,-0.028706528919020938,0.5396039603960396,False,1.0,discordant,,,nan,nan,unmatched,both_unmatched
0041 L6 IT CTX Glut_2,004 L6 IT CTX Glut,1,root,0.9883375178457146,0.9883375178457146,0.8560653276227047,0.13232509107468127,0.89,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0042 L6 IT CTX Glut_2,,nan,,nan,0.9349163159676873,0.9364037633628404,-0.0010692207226817645,0.8166666666666667,False,0.88,discordant,,,nan,nan,unmatched,both_unmatched
0044 L6 IT CTX Glut_3,005 L5 IT CTX Glut,1,root,0.9574161876879139,0.9574161876879139,0.8456002124010649,0.11184724195542926,0.508130081300813,False,1.0,discordant,,,nan,nan,unmatched,walk_only
0049 L6 IT CTX Glut_4,,nan,,nan,0.9553409420815794,0.9347431140223544,0.02065446840071128,0.84375,False,0.06000000000000005,discordant,,,nan,nan,unmatched,both_unmatched
0053 L6 IT CTX Glut_5,004 L6 IT CTX Glut,1,root,0.9458919398701927,0.9458919398701927,0.854795449461994,0.09075306324639337,0.8407079646017699,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0054 L6 IT CTX Glut_5,003 L5/6 IT TPE-ENT Glut,1,root,0.9114579024555334,0.9114579024555334,0.8033801710558752,0.10822244366729757,0.7816091954022989,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0055 L5 IT CTX Glut_1,,nan,,nan,0.9657489046423473,0.9596408703785753,0.006423590803918673,0.58,False,0.775,discordant,,,nan,nan,unmatched,both_unmatched
0056 L5 IT CTX Glut_1,005 L5 IT CTX Glut,1,root,0.9678723241488498,0.9678723241488498,0.6992241029495896,0.2686549617581124,0.7556818181818182,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0061 L5 IT CTX Glut_3,005 L5 IT CTX Glut,1,root,0.8936451901890995,0.8936451901890995,0.8130912084453161,0.08106563037214595,0.5466666666666666,False,1.0,discordant,,,nan,nan,unmatched,walk_only
0065 L5 IT CTX Glut_5,003 L5/6 IT TPE-ENT Glut,1,root,0.9899825235071137,0.9899825235071137,0.8984992369418598,nan,0.9866666666666667,True,nan,leaf,,,nan,nan,unmatched,walk_only
0069 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,1,root,0.9457207630748657,0.9457207630748657,0.7057558836025268,nan,0.9761904761904762,True,nan,leaf,,,nan,nan,unmatched,walk_only
0072 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,1,root,0.9716400827056565,0.9716400827056565,0.6923664648254813,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0075 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,1,root,0.9250189989387182,0.9250189989387182,0.882483089282826,nan,0.9939393939393939,True,nan,leaf,,,nan,nan,unmatched,walk_only
0076 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,1,root,0.8854891913198623,0.8854891913198623,0.9467641384174931,nan,0.9,True,nan,leaf,,,nan,nan,unmatched,walk_only
0078 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,1,root,0.9467008812090779,0.9467008812090779,0.9384935755427559,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0083 L4/5 IT CTX Glut_3,003 L5/6 IT TPE-ENT Glut,1,root,0.96771765798024,0.96771765798024,0.7619222863205358,nan,0.9924242424242424,True,nan,leaf,,,nan,nan,unmatched,walk_only
0084 L4/5 IT CTX Glut_3,005 L5 IT CTX Glut,1,root,0.8792375572293605,0.8792375572293605,0.8288768276473194,0.05082676795648107,0.4633333333333333,False,1.0,discordant,,,nan,nan,unmatched,walk_only
0090 L4/5 IT CTX Glut_4,006 L4/5 IT CTX Glut,1,root,0.8714818780928479,0.8714818780928479,0.8018973398559305,0.06776620074440633,0.7142857142857143,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0091 L4/5 IT CTX Glut_4,,nan,,nan,0.8567232806577069,0.863051740264855,-0.00677737655688475,0.5133333333333333,False,0.995,discordant,,,nan,nan,unmatched,both_unmatched
0094 L4/5 IT CTX Glut_4,007 L2/3 IT CTX Glut,1,root,0.9305041977560686,0.9305041977560686,0.8386398226393117,0.09232903347215965,0.6509433962264151,False,1.0,discordant,,,nan,nan,unmatched,walk_only
0096 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,1,root,0.9763392901097819,0.9763392901097819,0.8002798700339684,nan,0.98,True,nan,leaf,,,nan,nan,unmatched,walk_only
0098 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,1,root,0.8987680805210277,0.8987680805210277,0.8393046630873386,0.05918747142837352,0.827027027027027,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0099 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,1,root,0.9036800911649323,0.9036800911649323,0.8579990255550123,0.04594768197161276,0.8070175438596491,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0104 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,1,root,0.9709348913418029,0.9709348913418029,0.8394209496690563,nan,0.9875776397515528,True,nan,leaf,,,nan,nan,unmatched,walk_only
0105 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,1,root,0.9892207536241211,0.9892207536241211,0.7684405821118852,nan,0.9945054945054945,True,nan,leaf,,,nan,nan,unmatched,walk_only
0106 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,1,root,0.970279131590607,0.970279131590607,0.8083878550681829,nan,0.9866666666666667,True,nan,leaf,,,nan,nan,unmatched,walk_only
0109 L2/3 IT CTX Glut_2,007 L2/3 IT CTX Glut,1,root,0.9658882242898637,0.9658882242898637,0.7786612021857924,nan,0.96,True,nan,leaf,,,nan,nan,unmatched,walk_only
0351 L5 ET CTX Glut_1,022 L5 ET CTX Glut,1,root,0.9954931765318239,0.9954931765318239,0.2326306543697848,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0352 L5 ET CTX Glut_1,022 L5 ET CTX Glut,1,root,0.9763814689804363,0.9763814689804363,0.382494728449978,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0361 L5 ET CTX Glut_2,022 L5 ET CTX Glut,1,root,0.9787957124334598,0.9787957124334598,0.28706643151087596,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0362 L5 ET CTX Glut_2,022 L5 ET CTX Glut,1,root,0.9667216081701248,0.9667216081701248,0.8712688255445673,nan,0.9777777777777777,True,nan,leaf,,,nan,nan,unmatched,walk_only
0377 L5 ET CTX Glut_5,022 L5 ET CTX Glut,1,root,0.9863862691996563,0.9863862691996563,0.21345219492832632,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0379 L5 ET CTX Glut_5,022 L5 ET CTX Glut,1,root,0.9717959750528253,0.9717959750528253,0.1674583361734033,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0421 L6b CTX Glut_1,027 L6b CTX Glut,1,root,0.9956306485911749,0.9956306485911749,0.7081045200811947,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0430 L6b CTX Glut_3,027 L6b CTX Glut,1,root,0.9997477182323687,0.9997477182323687,0.8229166306675559,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0433 L6 CT CTX Glut_1,028 L6 CT CTX Glut,1,root,0.9839163343671541,0.9839163343671541,0.6180753704524197,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0436 L6 CT CTX Glut_1,028 L6 CT CTX Glut,1,root,0.9484150543986609,0.9484150543986609,0.7329857726579038,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0439 L6 CT CTX Glut_2,028 L6 CT CTX Glut,1,root,0.9694709592402255,0.9694709592402255,0.6736376110471151,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0440 L6 CT CTX Glut_2,028 L6 CT CTX Glut,1,root,0.9432846140678105,0.9432846140678105,0.7863798551350041,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0441 L6 CT CTX Glut_2,028 L6 CT CTX Glut,1,root,0.9682376429929341,0.9682376429929341,0.6867936203997759,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0445 L6 CT CTX Glut_3,028 L6 CT CTX Glut,1,root,0.9161446236754246,0.9161446236754246,0.4086349161707069,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0449 L6 CT CTX Glut_5,027 L6b CTX Glut,1,root,0.9857381332559152,0.9857381332559152,0.9004481782551894,0.0851271161453041,0.5,False,1.0,discordant,,,nan,nan,unmatched,walk_only
0452 L6 CT CTX Glut_5,028 L6 CT CTX Glut,1,root,0.9456584453305765,0.9456584453305765,0.9339132575198149,nan,0.97,True,nan,leaf,,,nan,nan,unmatched,walk_only
0461 L5 NP CTX Glut_2,030 L5 NP CTX Glut,1,root,0.9785346167305081,0.9785346167305081,0.20810908991229965,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0463 L5 NP CTX Glut_2,030 L5 NP CTX Glut,1,root,0.9877551220180703,0.9877551220180703,0.44071184549272197,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0465 L5 NP CTX Glut_3,030 L5 NP CTX Glut,1,root,0.9944412445232117,0.9944412445232117,0.33479594348446806,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0470 L5 NP CTX Glut_4,030 L5 NP CTX Glut,1,root,0.9504736024844721,0.9504736024844721,0.8855935127674258,0.06528385955831607,0.7380952380952381,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0497 Vip Gaba_1,036 Vip Gaba,1,root,0.9693011983304161,0.9693011983304161,0.9691828300957155,nan,0.9183673469387755,True,nan,leaf,,,nan,nan,unmatched,walk_only
