subclass,n_cells,accuracy,coverage
001 Car3 Glut,178,0.9944,0.9944
003 L5/6 IT TPE-ENT Glut,486,0.0041,0.6543
004 L6 IT CTX Glut,2580,0.9438,0.9481
005 L5 IT CTX Glut,814,0.7052,0.812
006 L4/5 IT CTX Glut,3797,0.9615,0.9721
007 L2/3 IT CTX Glut,1123,0.9475,0.9537
022 L5 ET CTX Glut,1616,0.9975,0.9975
027 L6b CTX Glut,544,0.9118,0.9228
028 L6 CT CTX Glut,2004,0.995,0.9965
030 L5 NP CTX Glut,1123,0.9777,0.9947
036 Vip Gaba,1294,0.9969,0.9985
037 Sncg Gaba,418,0.9928,0.9952
039 Lamp5 Gaba,944,0.982,0.9894
041 Pvalb chandelier Gaba,155,0.9935,1.0
042 Pvalb Gaba,1246,0.9872,0.9896
043 Sst Gaba,2424,0.9884,0.9934
046 Sst Chodl Gaba,182,0.022,0.3077
287 Astro-TE NN,275,1.0,0.0
294 OPC NN,300,1.0,0.98
295 Oligo NN,322,1.0,1.0
299 Peri NN,41,1.0,0.9756
301 Endo NN,99,0.9091,0.9495
302 Microglia NN,102,1.0,0.0
