HI,LO,macroF1_sim,macroF1_allen_v2,criterion,unstable_sim,unstable_allen
0.7,0.3,0.7869,0.7771,0.782,0,172
0.7,0.25,0.7869,0.777,0.782,0,176
0.7,0.2,0.7869,0.7769,0.7819,0,183
0.7,0.15,0.7869,0.7768,0.7819,0,188
0.75,0.3,0.7869,0.7622,0.7746,0,170
0.75,0.25,0.7869,0.7621,0.7745,0,174
0.75,0.2,0.7869,0.762,0.7745,0,181
0.75,0.15,0.7869,0.7619,0.7744,0,186
0.85,0.3,0.7869,0.7319,0.7594,0,178
0.85,0.25,0.7869,0.7318,0.7594,0,182
0.85,0.2,0.7869,0.7317,0.7593,0,189
0.85,0.15,0.7869,0.7316,0.7593,0,194
0.8,0.3,0.7869,0.7316,0.7592,0,177
0.8,0.25,0.7869,0.7315,0.7592,0,181
0.8,0.2,0.7869,0.7313,0.7591,0,188
0.8,0.15,0.7869,0.7313,0.7591,0,193
0.9,0.3,0.7869,0.7039,0.7454,0,178
0.9,0.25,0.7869,0.7037,0.7453,0,185
0.9,0.2,0.7869,0.7036,0.7452,0,192
0.9,0.15,0.7869,0.7035,0.7452,0,197
