query,parent,depth,sibling,auc_correct,auc_sibling,global_gap,local_pref
001 Car3 Glut,root,1,02 NP-CT-L6b Glut,0.7007,0.6216,0.0792,1.0
001 Car3 Glut,root,1,04 CGE GABA,0.7007,0.4285,0.2722,1.0
001 Car3 Glut,root,1,05 MGE GABA,0.7007,0.2952,0.4056,1.0
001 Car3 Glut,root,1,06 CNU GABA,0.7007,0.5089,0.1918,1.0
001 Car3 Glut,root,1,28 Astro-Epen,0.7007,0.3419,0.3589,1.0
001 Car3 Glut,root,1,29 Oligo,0.7007,0.2444,0.4563,1.0
001 Car3 Glut,root,1,31 Vascular,0.7007,0.3118,0.389,1.0
001 Car3 Glut,root,1,32 Immune,0.7007,0.3466,0.3541,1.0
001 Car3 Glut,01 IT-ET Glut,2,003 L5/6 IT TPE-ENT Glut,1.0,0.5012,0.4988,1.0
001 Car3 Glut,01 IT-ET Glut,2,004 L6 IT CTX Glut,1.0,0.7928,0.2072,0.0
001 Car3 Glut,01 IT-ET Glut,2,005 L5 IT CTX Glut,1.0,0.911,0.089,0.0
001 Car3 Glut,01 IT-ET Glut,2,006 L4/5 IT CTX Glut,1.0,0.7663,0.2337,0.0
001 Car3 Glut,01 IT-ET Glut,2,007 L2/3 IT CTX Glut,1.0,0.6801,0.3199,0.0
001 Car3 Glut,01 IT-ET Glut,2,022 L5 ET CTX Glut,1.0,0.2798,0.7202,0.4157
003 L5/6 IT TPE-ENT Glut,root,1,02 NP-CT-L6b Glut,0.7697,0.5472,0.2225,1.0
003 L5/6 IT TPE-ENT Glut,root,1,04 CGE GABA,0.7697,0.4707,0.299,1.0
003 L5/6 IT TPE-ENT Glut,root,1,05 MGE GABA,0.7697,0.3627,0.4071,1.0
003 L5/6 IT TPE-ENT Glut,root,1,06 CNU GABA,0.7697,0.4236,0.3461,1.0
003 L5/6 IT TPE-ENT Glut,root,1,28 Astro-Epen,0.7697,0.1221,0.6477,1.0
003 L5/6 IT TPE-ENT Glut,root,1,29 Oligo,0.7697,0.2662,0.5035,1.0
003 L5/6 IT TPE-ENT Glut,root,1,31 Vascular,0.7697,0.2243,0.5455,1.0
003 L5/6 IT TPE-ENT Glut,root,1,32 Immune,0.7697,0.3667,0.403,1.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,001 Car3 Glut,0.9838,0.3514,0.6325,1.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,004 L6 IT CTX Glut,0.9838,0.9012,0.0826,0.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,005 L5 IT CTX Glut,0.9838,0.8179,0.1659,0.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,006 L4/5 IT CTX Glut,0.9838,0.7015,0.2824,0.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,007 L2/3 IT CTX Glut,0.9838,0.7423,0.2416,0.0
003 L5/6 IT TPE-ENT Glut,01 IT-ET Glut,2,022 L5 ET CTX Glut,0.9838,0.7238,0.26,0.0
004 L6 IT CTX Glut,root,1,02 NP-CT-L6b Glut,0.7,0.6736,0.0264,0.9911
004 L6 IT CTX Glut,root,1,04 CGE GABA,0.7,0.3346,0.3654,1.0
