level,tier,a,b,n_a,n_b,signed,unsigned
cluster,same_supertype,0034 L6 IT CTX Glut_1,0035 L6 IT CTX Glut_1,97,34,0.9933,0.9933
cluster,same_supertype,0034 L6 IT CTX Glut_1,0036 L6 IT CTX Glut_1,97,20,0.8536,0.8536
cluster,same_supertype,0034 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,97,51,0.9668,0.9668
cluster,same_supertype,0035 L6 IT CTX Glut_1,0036 L6 IT CTX Glut_1,34,20,1.0,1.0
cluster,same_supertype,0035 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,34,51,0.9585,0.9585
cluster,same_supertype,0036 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,20,51,0.9824,0.9824
cluster,same_supertype,0038 L6 IT CTX Glut_2,0041 L6 IT CTX Glut_2,76,121,0.9681,0.9681
cluster,same_supertype,0038 L6 IT CTX Glut_2,0042 L6 IT CTX Glut_2,76,24,0.9786,0.9786
cluster,same_supertype,0041 L6 IT CTX Glut_2,0042 L6 IT CTX Glut_2,121,24,0.9828,0.9828
cluster,same_supertype,0053 L6 IT CTX Glut_5,0054 L6 IT CTX Glut_5,30,48,1.0,1.0
cluster,same_supertype,0055 L5 IT CTX Glut_1,0056 L5 IT CTX Glut_1,108,78,0.9539,0.9539
cluster,same_supertype,0069 L4/5 IT CTX Glut_1,0072 L4/5 IT CTX Glut_1,76,158,0.8384,0.8384
cluster,same_supertype,0075 L4/5 IT CTX Glut_2,0076 L4/5 IT CTX Glut_2,70,35,0.98,0.98
cluster,same_supertype,0075 L4/5 IT CTX Glut_2,0078 L4/5 IT CTX Glut_2,70,141,0.9792,0.9792
cluster,same_supertype,0076 L4/5 IT CTX Glut_2,0078 L4/5 IT CTX Glut_2,35,141,0.9838,0.9838
cluster,same_supertype,0083 L4/5 IT CTX Glut_3,0084 L4/5 IT CTX Glut_3,79,122,1.0,1.0
cluster,same_supertype,0090 L4/5 IT CTX Glut_4,0091 L4/5 IT CTX Glut_4,37,173,0.9881,0.9881
cluster,same_supertype,0090 L4/5 IT CTX Glut_4,0094 L4/5 IT CTX Glut_4,37,61,1.0,1.0
cluster,same_supertype,0091 L4/5 IT CTX Glut_4,0094 L4/5 IT CTX Glut_4,173,61,0.9966,0.9966
cluster,same_supertype,0096 L4/5 IT CTX Glut_5,0098 L4/5 IT CTX Glut_5,160,106,0.9713,0.9713
cluster,same_supertype,0096 L4/5 IT CTX Glut_5,0099 L4/5 IT CTX Glut_5,160,94,0.9833,0.9833
cluster,same_supertype,0098 L4/5 IT CTX Glut_5,0099 L4/5 IT CTX Glut_5,106,94,0.8506,0.8506
cluster,same_supertype,0104 L2/3 IT CTX Glut_1,0105 L2/3 IT CTX Glut_1,11,86,0.9937,0.9937
cluster,same_supertype,0104 L2/3 IT CTX Glut_1,0106 L2/3 IT CTX Glut_1,11,174,0.9687,0.9687
cluster,same_supertype,0105 L2/3 IT CTX Glut_1,0106 L2/3 IT CTX Glut_1,86,174,0.9966,0.9966
cluster,same_supertype,0351 L5 ET CTX Glut_1,0352 L5 ET CTX Glut_1,73,56,0.9741,0.9741
cluster,same_supertype,0361 L5 ET CTX Glut_2,0362 L5 ET CTX Glut_2,15,39,0.9932,0.9932
cluster,same_supertype,0377 L5 ET CTX Glut_5,0379 L5 ET CTX Glut_5,61,25,0.9495,0.9495
cluster,same_supertype,0433 L6 CT CTX Glut_1,0436 L6 CT CTX Glut_1,122,119,0.9698,0.9698
cluster,same_supertype,0439 L6 CT CTX Glut_2,0440 L6 CT CTX Glut_2,49,49,0.9929,0.9929
cluster,same_supertype,0439 L6 CT CTX Glut_2,0441 L6 CT CTX Glut_2,49,35,0.9872,0.9872
cluster,same_supertype,0440 L6 CT CTX Glut_2,0441 L6 CT CTX Glut_2,49,35,1.0,1.0
cluster,same_supertype,0449 L6 CT CTX Glut_5,0452 L6 CT CTX Glut_5,7,111,0.9936,0.9936
cluster,same_supertype,0461 L5 NP CTX Glut_2,0463 L5 NP CTX Glut_2,100,19,0.9679,0.9679
cluster,same_supertype,0513 Vip Gaba_3,0514 Vip Gaba_3,24,20,0.9458,0.9458
cluster,same_supertype,0513 Vip Gaba_3,0516 Vip Gaba_3,24,9,0.9954,0.9954
cluster,same_supertype,0514 Vip Gaba_3,0516 Vip Gaba_3,20,9,1.0,1.0
cluster,same_supertype,0527 Vip Gaba_5,0529 Vip Gaba_5,69,27,0.9941,0.9941
cluster,same_supertype,0580 Lamp5 Gaba_1,0581 Lamp5 Gaba_1,64,39,1.0,1.0
cluster,same_supertype,0580 Lamp5 Gaba_1,0582 Lamp5 Gaba_1,64,58,0.989,0.989
cluster,same_supertype,0581 Lamp5 Gaba_1,0582 Lamp5 Gaba_1,39,58,0.9739,0.9739
