seed,minority,batch_sd,imbalance,small,m_d,local_descend
0,0.0,0.5,False,False,"[0.0, 0.0167]",True
0,0.0,1.0,True,False,"[0.35, 0.05]",True
0,0.05,0.5,False,False,"[0.0317, 0.0317]",True
0,0.05,1.0,True,False,"[0.3333, 0.0952]",True
0,0.1,0.5,False,False,"[0.0597, 0.0746]",True
0,0.1,1.0,True,False,"[0.3433, 0.0597]",True
0,0.2,0.5,False,False,"[0.08, 0.12]",True
0,0.2,1.0,True,False,"[0.3333, 0.08]",True
0,0.3,0.5,False,False,"[0.1628, 0.1512]",True
0,0.3,1.0,True,False,"[0.314, 0.093]",True
0,0.5,0.5,False,False,"[0.225, 0.225]",False
0,0.5,1.0,True,False,"[0.325, 0.125]",False
1,0.0,0.5,True,False,"[0.35, 0.4167]",False
1,0.0,1.0,False,False,"[0.1167, 0.35]",True
1,0.05,0.5,True,False,"[0.3492, 0.4127]",False
1,0.05,1.0,False,False,"[0.1429, 0.3333]",True
1,0.1,0.5,True,False,"[0.3284, 0.403]",False
1,0.1,1.0,False,False,"[0.194, 0.3284]",True
1,0.2,0.5,True,False,"[0.3067, 0.36]",False
1,0.2,1.0,False,False,"[0.2667, 0.36]",True
1,0.3,0.5,True,False,"[0.3488, 0.3256]",False
1,0.3,1.0,False,False,"[0.3721, 0.3372]",False
1,0.5,0.5,True,False,"[0.325, 0.2833]",False
1,0.5,1.0,False,False,"[0.4167, 0.2917]",False
2,0.0,0.5,False,True,"[0.1667, 0.375]",True
2,0.0,1.0,True,True,"[0.1667, 0.375]",True
2,0.05,0.5,False,True,"[0.16, 0.36]",True
2,0.05,1.0,True,True,"[0.24, 0.36]",True
2,0.1,0.5,False,True,"[0.2222, 0.3333]",True
2,0.1,1.0,True,True,"[0.1852, 0.3333]",True
2,0.2,0.5,False,True,"[0.3333, 0.3333]",False
2,0.2,1.0,True,True,"[0.2, 0.3333]",True
2,0.3,0.5,False,True,"[0.3529, 0.2941]",False
2,0.3,1.0,True,True,"[0.4412, 0.2941]",False
2,0.5,0.5,False,True,"[0.3958, 0.1875]",False
2,0.5,1.0,True,True,"[0.4167, 0.2292]",False
