seed,minority,batch_sd,imbalance,small,m_d,null_m,excess,local_descend
0,0.0,0.5,False,False,"[0.1833, 0.05]",0.2417,"[0.0667, -0.3167]",True
0,0.0,1.0,True,False,"[0.3667, 0.1167]",0.2833,"[0.2333, -0.3167]",True
0,0.05,0.5,False,False,"[0.1905, 0.0635]",0.2167,"[0.0905, -0.2698]",True
0,0.05,1.0,True,False,"[0.3492, 0.127]",0.2833,"[0.2159, -0.3063]",True
0,0.1,0.5,False,False,"[0.2239, 0.0597]",0.2417,"[0.1072, -0.307]",True
0,0.1,1.0,True,False,"[0.4328, 0.1343]",0.2833,"[0.2828, -0.2823]",True
0,0.2,0.5,False,False,"[0.28, 0.1067]",0.225,"[0.1467, -0.21]",True
0,0.2,1.0,True,False,"[0.4133, 0.1333]",0.2833,"[0.28, -0.3]",True
0,0.3,0.5,False,False,"[0.2907, 0.1744]",0.2333,"[0.1574, -0.1589]",True
0,0.3,1.0,True,False,"[0.3953, 0.1279]",0.2917,"[0.2453, -0.3054]",True
0,0.5,0.5,False,False,"[0.375, 0.2167]",0.25,"[0.2583, -0.1667]",True
0,0.5,1.0,True,False,"[0.3333, 0.1833]",0.2833,"[0.2, -0.25]",True
1,0.0,0.5,True,False,"[0.2833, 0.3833]",0.0167,"[0.25, 0.3833]",False
1,0.0,1.0,False,False,"[0.1333, 0.35]",0.2583,"[-0.1, 0.0667]",True
1,0.05,0.5,True,False,"[0.2698, 0.3651]",0.0167,"[0.2365, 0.3651]",False
1,0.05,1.0,False,False,"[0.1429, 0.4127]",0.2583,"[-0.1071, 0.146]",True
1,0.1,0.5,True,False,"[0.2687, 0.3433]",0.0167,"[0.2353, 0.3433]",False
1,0.1,1.0,False,False,"[0.1642, 0.4179]",0.2667,"[-0.0858, 0.1346]",True
1,0.2,0.5,True,False,"[0.36, 0.3067]",0.0167,"[0.3267, 0.3067]",False
1,0.2,1.0,False,False,"[0.1333, 0.4533]",0.25,"[-0.1, 0.1867]",True
1,0.3,0.5,True,False,"[0.3837, 0.2674]",0.0167,"[0.3504, 0.2674]",False
1,0.3,1.0,False,False,"[0.1744, 0.407]",0.2667,"[-0.0589, 0.107]",True
1,0.5,0.5,True,False,"[0.3583, 0.2167]",0.0167,"[0.325, 0.2167]",False
1,0.5,1.0,False,False,"[0.2417, 0.3417]",0.2667,"[0.0083, 0.0417]",False
2,0.0,0.5,False,True,"[0.3333, 0.2083]",0.1667,"[0.1667, 0.0417]",False
2,0.0,1.0,True,True,"[0.4167, 0.2917]",0.2292,"[0.3333, -0.0833]",True
2,0.05,0.5,False,True,"[0.32, 0.24]",0.1667,"[0.1533, 0.0733]",False
2,0.05,1.0,True,True,"[0.44, 0.24]",0.2083,"[0.3983, -0.135]",True
2,0.1,0.5,False,True,"[0.3704, 0.1852]",0.2292,"[0.162, -0.0648]",False
2,0.1,1.0,True,True,"[0.3704, 0.2963]",0.1875,"[0.287, 0.0046]",True
2,0.2,0.5,False,True,"[0.4, 0.1667]",0.1875,"[0.2333, -0.0417]",False
2,0.2,1.0,True,True,"[0.4333, 0.2667]",0.1875,"[0.35, -0.025]",True
2,0.3,0.5,False,True,"[0.3235, 0.1471]",0.1875,"[0.1569, -0.0613]",False
2,0.3,1.0,True,True,"[0.3235, 0.1765]",0.2292,"[0.2402, -0.1985]",True
2,0.5,0.5,False,True,"[0.25, 0.1042]",0.25,"[0.0833, -0.2292]",False
2,0.5,1.0,True,True,"[0.3125, 0.1875]",0.1875,"[0.2292, -0.1042]",True
