node,n_child_calls,guard,truth
n01,2,contained,spans
n02,2,contained,contained
n03,2,contained,contained
n04,2,contained,spans
n05,2,contained,contained
n06,2,contained,contained
n07,2,contained,contained
n08,2,contained,spans
n09,2,contained,contained
n10,2,contained,contained
n11,2,contained,contained
n12,2,contained,contained
n13,2,contained,contained
n14,2,contained,contained
n15,2,contained,spans
n16,2,contained,contained
n17,2,contained,contained
n18,2,contained,contained
n19,2,contained,contained
n20,2,contained,contained
n21,2,contained,contained
n22,2,contained,contained
n23,2,contained,contained
n24,2,contained,contained
n25,2,contained,contained
n26,2,contained,contained
n27,2,contained,contained
n28,2,spans,spans
n29,3,contained,contained
n30,2,contained,contained
n31,3,contained,spans
n32,2,contained,contained
n33,2,contained,contained
n34,2,contained,contained
n35,3,contained,contained
n36,2,contained,contained
n37,2,contained,contained
n38,2,contained,contained
n39,2,contained,contained
n40,2,contained,contained
n41,2,contained,contained
n42,3,contained,contained
n43,2,contained,contained
n44,2,contained,spans
n45,2,contained,contained
n46,2,contained,contained
n47,2,contained,contained
n48,2,contained,spans
n49,2,contained,contained
n50,2,contained,spans
n51,3,contained,contained
n52,2,contained,contained
n53,2,spans,spans
n54,2,contained,contained
n55,5,contained,contained
n56,2,contained,spans
n57,2,contained,contained
n58,2,contained,contained
n59,2,contained,contained
n60,2,contained,contained
n61,2,contained,spans
n62,2,spans,spans
n63,2,spans,spans
n64,7,spans,spans
n65,2,spans,spans
n66,2,contained,contained
n67,2,spans,spans
n68,2,contained,contained
n69,2,spans,spans
n70,2,spans,spans
n71,2,contained,spans
n72,13,spans,spans
n73,2,spans,spans
n74,2,spans,spans
n75,2,spans,spans
n77,2,spans,spans
