seed,minority,batch_sd,imbalance,small,w,w2,lcb_w2,resid,cond,per_donor_w2,swap_dw2,unresolved
0,0.0,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0464,43.4,"[0.0, 0.0]",0.2595,False
0,0.0,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0693,77.7,"[0.0, 0.0]",0.3219,False
0,0.05,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0425,43.3,"[0.0, 0.0]",0.3039,False
0,0.05,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0664,77.7,"[0.0, 0.0]",0.3742,False
0,0.1,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0384,43.4,"[0.0, 0.0]",0.3817,False
0,0.1,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0621,77.6,"[0.0, 0.0]",0.499,False
0,0.2,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0307,43.9,"[0.0, 0.0]",0.4464,False
0,0.2,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0602,77.7,"[0.0, 0.0]",0.4881,False
0,0.3,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0258,43.4,"[0.0, 0.0]",0.4273,False
0,0.3,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0565,77.1,"[0.0, 0.0]",0.3181,False
0,0.5,0.5,False,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0183,45.3,"[0.0, 0.0261]",0.2385,False
0,0.5,1.0,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0544,77.2,"[0.1691, 0.0]",0.205,False
1,0.0,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0715,37.9,"[0.0, 0.0]",0.0,False
1,0.0,1.0,False,False,"[0.0358, 0.3851, 0.5791]",0.3851,0.3082,0.0,40.0,"[0.2912, 0.486]",0.3851,False
1,0.05,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.068,37.8,"[0.0, 0.0]",0.0008,False
1,0.05,1.0,False,False,"[0.0, 0.4198, 0.5802]",0.4198,0.3305,0.0025,40.1,"[0.3047, 0.4631]",0.4198,False
1,0.1,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0627,37.8,"[0.0, 0.0]",0.0045,False
1,0.1,1.0,False,False,"[0.0, 0.4424, 0.5576]",0.4424,0.3499,0.0102,40.1,"[0.4106, 0.4264]",0.4424,False
1,0.2,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0533,37.5,"[0.0, 0.0]",0.1542,False
1,0.2,1.0,False,False,"[0.0, 0.5036, 0.4964]",0.4964,0.4143,0.0102,40.1,"[0.2772, 0.3964]",0.4964,False
1,0.3,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.0446,37.8,"[0.0, 0.0]",0.2173,False
1,0.3,1.0,False,False,"[0.0, 0.5975, 0.4025]",0.4025,0.323,0.0212,39.8,"[0.3532, 0.2711]",0.4025,False
1,0.5,0.5,True,False,"[1.0, 0.0, 0.0]",0.0,0.0,0.035,37.8,"[0.0683, 0.0]",0.4583,False
1,0.5,1.0,False,False,"[0.0, 0.7254, 0.2746]",0.2746,0.2062,0.0302,40.0,"[0.296, 0.1828]",0.2746,False
2,0.0,0.5,False,True,"[0.8326, 0.136, 0.0314]",0.136,0.0534,0.0,29.6,"[0.0091, 0.2468]",0.0152,False
2,0.0,1.0,True,True,"[0.0, 0.6661, 0.3339]",0.3339,0.2161,0.0211,60.1,"[0.3908, 0.277]",0.1367,False
2,0.05,0.5,False,True,"[0.8131, 0.1553, 0.0316]",0.1553,0.072,0.0,29.5,"[0.0174, 0.2609]",0.0074,False
2,0.05,1.0,True,True,"[0.0, 0.665, 0.335]",0.335,0.1802,0.0178,59.9,"[0.3923, 0.2777]",0.0848,False
2,0.1,0.5,False,True,"[0.7315, 0.2054, 0.0631]",0.2054,0.1063,0.0,29.8,"[0.0726, 0.3383]",0.0301,False
2,0.1,1.0,True,True,"[0.0, 0.6864, 0.3136]",0.3136,0.1895,0.0221,58.8,"[0.3775, 0.2497]",0.0068,False
2,0.2,0.5,False,True,"[0.6137, 0.2866, 0.0998]",0.2866,0.1833,0.0,29.4,"[0.2192, 0.354]",0.0875,False
2,0.2,1.0,True,True,"[0.0, 0.7061, 0.2939]",0.2939,0.182,0.0245,58.7,"[0.3481, 0.2396]",0.1286,False
2,0.3,0.5,False,True,"[0.5525, 0.3766, 0.0709]",0.3766,0.2625,0.0,29.2,"[0.2228, 0.4118]",0.1429,False
2,0.3,1.0,True,True,"[0.0, 0.7772, 0.2228]",0.2228,0.1198,0.0382,59.9,"[0.3172, 0.1284]",0.1725,False
2,0.5,0.5,False,True,"[0.3864, 0.5414, 0.0722]",0.3864,0.2634,0.0,29.9,"[0.3495, 0.2187]",0.0662,False
2,0.5,1.0,True,True,"[0.0, 0.7964, 0.2036]",0.2036,0.1268,0.0483,59.2,"[0.3043, 0.1029]",0.0953,False
