"query","0004 Car3 Glut_1","0026 L5/6 IT TPE-ENT Glut_2","0029 L5/6 IT TPE-ENT Glut_3","0034 L6 IT CTX Glut_1","0035 L6 IT CTX Glut_1","0036 L6 IT CTX Glut_1","0037 L6 IT CTX Glut_1","0038 L6 IT CTX Glut_2","0041 L6 IT CTX Glut_2","0042 L6 IT CTX Glut_2","0044 L6 IT CTX Glut_3","0049 L6 IT CTX Glut_4","0053 L6 IT CTX Glut_5","0054 L6 IT CTX Glut_5","0055 L5 IT CTX Glut_1","0056 L5 IT CTX Glut_1","0065 L5 IT CTX Glut_5","0069 L4/5 IT CTX Glut_1","0072 L4/5 IT CTX Glut_1","0075 L4/5 IT CTX Glut_2","0076 L4/5 IT CTX Glut_2","0078 L4/5 IT CTX Glut_2","0083 L4/5 IT CTX Glut_3","0084 L4/5 IT CTX Glut_3","0090 L4/5 IT CTX Glut_4","0091 L4/5 IT CTX Glut_4","0094 L4/5 IT CTX Glut_4","0096 L4/5 IT CTX Glut_5","0098 L4/5 IT CTX Glut_5","0099 L4/5 IT CTX Glut_5","0104 L2/3 IT CTX Glut_1","0105 L2/3 IT CTX Glut_1","0106 L2/3 IT CTX Glut_1","0109 L2/3 IT CTX Glut_2","0351 L5 ET CTX Glut_1","0352 L5 ET CTX Glut_1","0361 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2","0377 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5","0421 L6b CTX Glut_1","0430 L6b CTX Glut_3","0433 L6 CT CTX Glut_1","0436 L6 CT CTX Glut_1","0439 L6 CT CTX Glut_2","0440 L6 CT CTX Glut_2","0441 L6 CT CTX Glut_2","0445 L6 CT CTX Glut_3","0449 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5","0461 L5 NP CTX Glut_2","0463 L5 NP CTX Glut_2","0465 L5 NP CTX Glut_3","0470 L5 NP CTX Glut_4","0497 Vip Gaba_1","0513 Vip Gaba_3","0514 Vip Gaba_3","0516 Vip Gaba_3","0522 Vip Gaba_4","0527 Vip Gaba_5","0529 Vip Gaba_5","0533 Vip Gaba_6","0547 Sncg Gaba_6","0553 Sncg Gaba_3","0560 Sncg Gaba_4","0580 Lamp5 Gaba_1","0581 Lamp5 Gaba_1","0582 Lamp5 Gaba_1","0587 Lamp5 Gaba_2","0605 Pvalb chandelier Gaba","0607 Pvalb Gaba_1","0618 Pvalb Gaba_3","0619 Pvalb Gaba_3","0620 Pvalb Gaba_8","0621 Pvalb Gaba_3","0624 Pvalb Gaba_4","0625 Pvalb Gaba_5","0628 Pvalb Gaba_4","0631 Sst Gaba_13","0638 Sst Gaba_1","0641 Sst Gaba_12","0664 Sst Gaba_4","0665 Sst Gaba_11","0666 Sst Gaba_4","0668 Sst Gaba_4","0669 Sst Gaba_4","0673 Sst Gaba_16","0675 Sst Gaba_5","0677 Sst Gaba_5","0688 Sst Gaba_7","0695 Sst Gaba_10","0697 Sst Gaba_8","0731 Sst Chodl Gaba_4","5113 Astro-TE NN_3","5146 OPC NN_1","5150 COP NN","5158 MOL NN","5182 Peri NN","5188 Endo NN","5190 Microglia NN"
"001 Car3 Glut",1,0.414823338993065,0.545914967555537,0.607941375246491,0.722289057074044,0.727905805296281,0.610918483266168,0.957803583333714,0.821448070738885,0.944571285829365,0.756358069714167,0.658884398514956,0.833902253689209,0.615238429423922,0.965011760364162,0.948609173224384,0.576996253414607,0.790619973470343,0.738050591428011,0.89012916408894,0.913541720377746,0.898159836793371,0.444531623571913,0.582541972021935,0.68583592552711,0.597755269695598,0.764574917770246,0.844887640882738,0.873023890392911,0.784924452383422,0.730975574841966,0.659588728045466,0.663209403335893,0.870295286139547,0.346650177654858,0.447140546976114,0.354185036194389,0.210125483115935,0.283504281567741,0.285688212474735,0.61728028855169,0.674741145100296,0.641749113437504,0.723047094989452,0.64488502867339,0.771863421174638,0.723398186530072,0.502575254719804,0.588639879955636,0.557350419582464,0.192524916821661,0.374970561862058,0.307967149731253,0.316740503414103,0.193228614796801,0.174509968549677,0.18861942794258,0.167881513471977,0.245709217377506,0.250720461997941,0.365744501177378,0.316708017509582,0.372100142913392,0.266291526357422,0.480187418693297,0.298713161670213,0.339815171414328,0.283227633772581,0.13915295250803,0.302905813211171,0.234611066326164,0.390476932657813,0.299266846998641,0.0981905513838221,0.0895690925083832,0.270747147581229,0.0697692304346657,0.316031830330301,0.167018994068274,0.151430274391051,0.307399920175931,0.213978200118274,0.0531719296479205,0.127636223143697,0.228570800918583,0.118239726070699,0.260082946132635,0.095875544549043,0.214085162854928,0.358319574201607,0.254131409366423,0.0907211567924289,0.377602949715005,0.454813427656627,0.291632145010695,0.239260834172786,0.251796682763442,0.356861467682843,0.345996584419236,0.35688038991384
"003 L5/6 IT TPE-ENT Glut",0.492002589907081,0.97349792636226,0.983707787423055,0.922593635155962,0.896891605586082,0.896223991213588,0.93509454620183,0.66665439648519,0.836129432381706,0.728464828296317,0.798664746637402,0.93429219892938,0.828560274481155,0.872148370950058,0.50496604065446,0.61534747076423,0.976724259996306,0.67826865413925,0.716980995601327,0.512662759592765,0.383190489671931,0.488491702348678,0.951002317896247,0.646895508176663,0.777658321983062,0.85578912970325,0.705808432938049,0.610647699705834,0.568868514812486,0.641071031894404,0.804390233452237,0.703406745430862,0.794981035841733,0.513465969885582,0.699227556024245,0.54543555395814,0.725983697991524,0.811001381789065,0.776436307240297,0.790550847886215,0.632476844171537,0.481489602309782,0.482496428594531,0.4004641515595,0.540664704074294,0.405952403351725,0.436147243279046,0.667090233230442,0.680272265978512,0.621855972392797,0.378449340810893,0.195156261839734,0.265819920391524,0.321225916753563,0.358611113767354,0.355304885457477,0.352196632916719,0.381952952902021,0.263369517379637,0.350492563849311,0.287718448868987,0.259521536977873,0.347819813046928,0.415886414537575,0.258866293899847,0.244552528873994,0.209572864173323,0.226107406656591,0.433771279281129,0.211927332678638,0.378874868615932,0.110310032265625,0.173463361637632,0.205968706198755,0.164397988790068,0.269156014133388,0.241677495684481,0.23655132596817,0.275110547286536,0.298670324759746,0.242977220929641,0.205054155970155,0.214198472957188,0.262694282711385,0.125005033605269,0.17642361532824,0.21759809245779,0.32580088406157,0.254758706710164,0.0561427990769689,0.111671378784169,0.21706010884339,0.330025256822469,0.114422845480394,0.228678492698687,0.367166780179216,0.248646124724545,0.182076754401705,0.189620171199685,0.318250421227443
"004 L6 IT CTX Glut",0.797140245141288,0.851392665400563,0.915659056030241,0.935807925263414,0.943069872908756,0.9705472121051,0.949481905866914,0.917858189071431,0.972316789577004,0.945731036524599,0.785027637189309,0.941999449391929,0.930985087853965,0.900053340917725,0.722626676827173,0.816017492454702,0.900694669353381,0.591513823423888,0.568521484807749,0.546585692459829,0.494105908423698,0.51630961921442,0.767371485677436,0.581264256185664,0.670633452308714,0.671206317426787,0.648049774079135,0.565471376248058,0.670823072590834,0.65253608169355,0.861240520229793,0.79116194527655,0.796167783128265,0.731098527463178,0.53892191437227,0.458939642655664,0.585329966977163,0.58744929968204,0.573426148136369,0.572144539972976,0.599577738088036,0.413768647004845,0.644830018617556,0.628328252949664,0.732461239123275,0.6751866357607,0.686711852123407,0.653170273045147,0.7089839714452,0.706784614568489,0.235643064081764,0.219656650843464,0.223908861033662,0.26158239831676,0.214508991608577,0.274052247095158,0.316731904584553,0.273995044878618,0.21933785468974,0.213278235865458,0.256403831973943,0.320238268270154,0.301277088157086,0.260426335633327,0.330367670906514,0.201671066658562,0.228902479553917,0.212635589387338,0.28919418778151,0.270939433558126,0.338953101744347,0.17756348626391,0.162734976784609,0.152443603240353,0.118733151653171,0.282546286870861,0.186103489620406,0.247021392718711,0.180808849024044,0.148518953160075,0.137726283048921,0.132177536963102,0.110765195657289,0.152236371111471,0.0812658919482479,0.0893250061177132,0.0977245113468118,0.215699078227842,0.223701351869417,0.0773529757781677,0.101782607176299,0.0970606487251102,0.290271544539054,0.2854274187553,0.334443479894955,0.392220882406398,0.343099317114599,0.344175342254903,0.368096867752764,0.385469880550836
"005 L5 IT CTX Glut",0.892099156595647,0.684185062798447,0.679536426124899,0.622435137856323,0.671940712865448,0.700172463766345,0.684281988894749,0.905231583137293,0.773599840122638,0.828397268610374,0.955446720086897,0.765854714869998,0.71150516379546,0.845775993291796,0.923307918516864,0.943874478026196,0.772369322912043,0.863527953106277,0.83344546005559,0.857107147578334,0.789845410527262,0.83569766556272,0.683317230077983,0.843985763224526,0.825267364954617,0.741728783321599,0.730841554730389,0.823522637115833,0.881536016071351,0.820572003669498,0.62059537568314,0.616211354256118,0.53359095019726,0.759050444564514,0.463384480991501,0.565862310559509,0.455573918727398,0.368064221376022,0.38465521168399,0.416098256022795,0.490074338125103,0.405947964763234,0.558623633959998,0.593954664176836,0.555164740976997,0.608988952308728,0.617616631529052,0.523974288743314,0.511735639695453,0.520462027580427,0.26022816220565,0.316012931573801,0.310829024270268,0.335479866371184,0.245902323158786,0.207850095766005,0.242862380507941,0.25055120594317,0.302162880928867,0.214934686508441,0.278367744511065,0.322452401918039,0.229141748746866,0.217868180916357,0.262288701862003,0.260074498063867,0.273099393438356,0.227178672326441,0.218646914437774,0.322789217019153,0.27005896054912,0.270431226452615,0.280049282411429,0.216533847410918,0.225636140782254,0.299719047769978,0.256290713668685,0.248729574845303,0.150126911474225,0.16175135222038,0.290907506567854,0.159925540107865,0.11617574578164,0.227800066966773,0.163456458763699,0.177143234955184,0.140323565022606,0.2439431671973,0.246510897644064,0.12180469153094,0.0525914146299987,0.0894408597177633,0.178642380328272,0.34390431396096,0.216868944680073,0.250075859555977,0.291480732880202,0.422567343125935,0.377029318744295,0.381948430418037
"006 L4/5 IT CTX Glut",0.766878320127948,0.702210654552855,0.632837575629745,0.526284913509425,0.550717801525801,0.514319060823182,0.55092531059805,0.654297076640661,0.532175798581205,0.614773618112996,0.870597829065976,0.654986521637924,0.572179645991696,0.719777979237324,0.838178514954936,0.830007468789157,0.722358470022082,0.97391277256151,0.977175431470297,0.944672014573345,0.914041708014987,0.955153915012553,0.797002429747208,0.863912047344143,0.938637001058136,0.907857018989207,0.910338245381467,0.978919367518209,0.911751725028208,0.938588875957516,0.716580580695776,0.761613996320797,0.714143198708793,0.830825150068953,0.559354793953531,0.616094490610971,0.516306840001534,0.461669124578496,0.488873222139053,0.520376507201683,0.304013177926427,0.280836392883486,0.445476708975073,0.492520589389845,0.427043512112548,0.493891296667608,0.478346325138948,0.398602494318892,0.317132802557942,0.398079575951851,0.344989449262367,0.432794295087178,0.427279106540149,0.376753898304819,0.248234927198191,0.223740122118359,0.23478081342102,0.243208299681848,0.269047019814899,0.258291323496367,0.265009405476724,0.301999545734101,0.205662975849062,0.291192944923679,0.191496718472867,0.13049301236101,0.184229291851854,0.146576971529477,0.218837388489113,0.298048694080417,0.240592988537365,0.219857039462229,0.257859523996297,0.26385472366886,0.21741379491866,0.148633885879547,0.213424619179649,0.155141545651686,0.152236471720983,0.28647607170809,0.330400716434866,0.23869423291545,0.260366482244206,0.289184622690219,0.248506532538303,0.272525543718062,0.146236502310342,0.199042762255646,0.0921975169099306,0.144105008641917,0.188756824227925,0.252862367363413,0.0701274096493319,0.291908079531864,0.135450554644226,0.11445580160199,0.267904673909082,0.474306761891323,0.369677058267854,0.386359022191453
"007 L2/3 IT CTX Glut",0.725911490403247,0.621757880787152,0.727671313138479,0.779205063787273,0.845605170132551,0.768745480782158,0.711984767964277,0.633024004360016,0.707619018833406,0.807964437824248,0.611845673496796,0.723897239524767,0.8823497845744,0.607735538596577,0.581947486055891,0.602771788925808,0.698264078000926,0.673425809078888,0.702746512666361,0.728468062819852,0.822346086047902,0.752913583128121,0.722868699355115,0.479699209499554,0.725650584984967,0.801634214967169,0.94507556469684,0.811595735941796,0.819466303284671,0.856415065266126,0.984538391897234,0.994979503220012,0.979556734237865,0.972338260271774,0.731973503803667,0.538444454417373,0.665452968825238,0.682626891614323,0.805632945226033,0.731691238845135,0.315362974839197,0.264142707315634,0.468059294751596,0.47991830528642,0.492355597011175,0.493172060546441,0.446641793761742,0.407929081409705,0.413801823878874,0.484769350919963,0.215907719294075,0.116550695805428,0.185953507260415,0.210439823632926,0.295062861041152,0.245707308066521,0.282206351559808,0.29460032719098,0.313717822368805,0.334636020188034,0.226196781676679,0.182362815499155,0.186211358752239,0.272189027663629,0.186899856999747,0.255548742523551,0.257097107544364,0.311723734057804,0.304999120998769,0.130846680012199,0.134226408026544,0.143820127844461,0.254782573271862,0.21162136370301,0.221713518102404,0.123917018793411,0.297733126010157,0.0914002128515769,0.222933868152042,0.306155027161178,0.287137637375038,0.279855595833375,0.273212623167533,0.255976756897158,0.21238619163576,0.2566312885472,0.273359221975386,0.190706133946445,0.196399397938205,0.252705676202532,0.358111545675108,0.358188432691429,0.124288346888101,0.285607423551073,0.243464654542838,0.240673514389124,0.276960345677097,0.404486334995914,0.337803043334088,0.313482529922635
"022 L5 ET CTX Glut",0.322888939383553,0.829521482078414,0.767105961884419,0.722416732296339,0.680151959873252,0.622027979880473,0.686742981857957,0.420393323103307,0.535176204937503,0.44520800091646,0.485476909755421,0.682711835528929,0.644029665201812,0.612908942635599,0.409958358156568,0.397795932552775,0.690208972032285,0.493330922349319,0.589638380896128,0.346112320321667,0.450508989971176,0.424855384263097,0.788684531951446,0.712041255067954,0.58193051513018,0.649260281944759,0.601152477911895,0.524929490179412,0.479559038887166,0.544342946222834,0.729519088765997,0.783638223311333,0.816718018869654,0.610724737902685,0.991895233207958,0.980483091488335,0.988838996038294,0.976928683899865,0.992959881456823,0.985414556490122,0.808707259736787,0.693769657914466,0.82857377479782,0.812967199123419,0.762216382763679,0.73931181330246,0.736801626052267,0.807850310911328,0.751870946812017,0.808906972550543,0.577434848520655,0.481608261335862,0.596467403951491,0.654581813626588,0.192178216676959,0.253007923380763,0.290682728033184,0.205174300167743,0.185083879242107,0.211189420154867,0.124658255339364,0.094248648922578,0.324228240568466,0.353158924014482,0.184540059877293,0.342351511256814,0.321648878808192,0.382249098393599,0.362218943703736,0.142604123601801,0.112221409466647,0.213194253882328,0.219170500535015,0.253934039759279,0.284486368386847,0.19735831470489,0.242541799396501,0.285947907493936,0.295164193178312,0.358990481947737,0.272299118745306,0.140029761305901,0.189095738096694,0.119756474214151,0.174609444516779,0.138878289422756,0.302569557911262,0.167883176944797,0.243551793979328,0.340536461410559,0.281456575527268,0.246027921384219,0.258736857384096,0.17408178964072,0.225356097613939,0.239724795308492,0.277560090114166,0.18538421795869,0.28091923274416,0.236240737033586
"027 L6b CTX Glut",0.703452352965226,0.588241877374196,0.657826529952297,0.701848854965789,0.590233489813276,0.672921932955262,0.71893044078913,0.640220722254373,0.686135893382412,0.529671410383917,0.478527463493193,0.533982635031499,0.476281395017212,0.468420147015341,0.5454294699707,0.489859593973415,0.550474005022573,0.322221835976632,0.335410865086946,0.33058695678005,0.255877913030154,0.301747876025898,0.496127994268924,0.546283378489055,0.365177279792615,0.379152955773882,0.345350540478985,0.307996842688344,0.31199445518596,0.305830123013256,0.307967432155376,0.305332109838843,0.337346135639196,0.28642040443984,0.755759042021942,0.730375345828524,0.772300431584068,0.766653253978177,0.783816179514177,0.781352068252909,0.994667895795271,0.999350172557473,0.890061736532522,0.873529096050019,0.892878346716567,0.869397177437072,0.880970346987003,0.923290771278866,0.977174607709879,0.929561093716402,0.940615376915444,0.869523508220933,0.896818426479932,0.914495439143846,0.133573544620646,0.219311546766462,0.110237054616533,0.124228143734191,0.0984121298844964,0.181786502411994,0.223102753532217,0.203388390053985,0.542189853895796,0.303242369393823,0.537322983115139,0.321183797056398,0.231581209641452,0.291774188609017,0.131523040218851,0.219570595350247,0.168178377916296,0.239114616412974,0.144494221639324,0.150091865131815,0.265847709333866,0.213296127848131,0.212866665153592,0.205298189374961,0.508726045741665,0.242997396728649,0.182971817278657,0.518374498870358,0.539693582881436,0.541728446863437,0.533356286128673,0.582926494804787,0.548689382112682,0.364361922984967,0.488146156964318,0.51477597615711,0.560639549504496,0.480696533745614,0.637909485968209,0.545013144953831,0.605206920089125,0.481236707009627,0.0954584478438807,0.182292707322052,0.254054911827571,0.245083803609979
"028 L6 CT CTX Glut",0.692480496090731,0.53533433246537,0.556984707424143,0.716016312082472,0.71342791966176,0.775502978713084,0.707330419647414,0.79059640624829,0.814202923220331,0.78345324446658,0.521848307511004,0.567380398359104,0.733179604358469,0.616409942899482,0.700990826620612,0.660172797035308,0.481392626170659,0.490521074185037,0.447850048162168,0.484921744916137,0.455069414704358,0.521114585569432,0.429287549325842,0.634433602401083,0.4229068708011,0.387917031987403,0.414930945395265,0.456500935348437,0.537427394678104,0.462304839946859,0.476958904127212,0.440769133156337,0.456257092817577,0.521477458951008,0.808748570076816,0.821534528618542,0.84742794060495,0.770926945185074,0.769942083907039,0.791960567221331,0.927375881545374,0.909412231718433,0.99262042379721,0.976619394395342,0.991806178595189,0.977033882763951,0.985704879920508,0.963691302409899,0.944965539928498,0.97702202883877,0.751127333935769,0.722912040595417,0.768162571488111,0.894407815220466,0.185964037652389,0.140493465275565,0.091996212529082,0.111259144307762,0.157319711063845,0.159894467959761,0.200285785730664,0.143596505058592,0.108827803244889,0.0385649638290961,0.208528136515917,0.267748641229613,0.268255989249245,0.274766882485523,0.108618137267109,0.143291959089646,0.1746598585915,0.263493958305624,0.176963874454355,0.202055211608713,0.233680058221713,0.265106796527274,0.185066700906844,0.249624367941629,0.226476496787856,0.0579125409364948,0.0475780340039113,0.2657000085021,0.235346961850934,0.161853043587994,0.311800091221804,0.265088627613518,0.2745508467525,0.216914435074939,0.291905509563437,0.333637845703872,0.250922061635302,0.183748397933928,0.261521338565179,0.419845686856998,0.356266971970415,0.440425118701896,0.377718485615573,0.410853430272546,0.538229934932026,0.513149037104249
"030 L5 NP CTX Glut",0.334940785560002,0.345038283297659,0.223838828410406,0.345779018308041,0.225539996570869,0.290765390261598,0.310612605102248,0.301014598260832,0.276650329832682,0.24465971478226,0.30393964394442,0.169316568330029,0.234235316032712,0.274180035233233,0.473399905826217,0.335301848465795,0.232652039719448,0.510863198876404,0.487181938226198,0.567802932048231,0.576198673268496,0.621477009025016,0.373946666638256,0.496739146754614,0.36932732395119,0.38104345201491,0.268101058304892,0.47862161138461,0.387048164668756,0.304769684874512,0.131006307257829,0.151873340044958,0.192014006011357,0.214289130348796,0.555638788508993,0.635293886230143,0.523109365083346,0.622853770811702,0.548668365230758,0.567983097377442,0.907417543894766,0.935637536851912,0.781927557711195,0.70301461050242,0.752763292734243,0.710330906633108,0.76149106434747,0.871516081005184,0.887414762557477,0.806927996359368,0.986590388356919,0.994035134888014,0.994767796040211,0.981482868842166,0.650399990718939,0.622514070928927,0.44549962041396,0.616320817532659,0.624616077154247,0.625909076692097,0.555174326278887,0.51481148684116,0.297382611000203,0.311803266707823,0.302054035088516,0.473453773464358,0.299193193951497,0.277840325363956,0.401620553788395,0.56479690654122,0.534147653827258,0.661578227565278,0.650190665354772,0.633113864493587,0.70590311640517,0.612924687146373,0.628726815377752,0.615730934931248,0.659111427873813,0.630276882915551,0.639979494250827,0.719008006001399,0.725007076777341,0.716976199431588,0.730311354189291,0.721547771981032,0.717237333080179,0.673674557756755,0.654262438923253,0.710768264415111,0.708678150444046,0.694235628411423,0.702840712791129,0.553399223530875,0.588297351461105,0.226289701774105,0.271865983739508,0.356949897632162,0.325942392588553,0.0986356817169538
