"query","0004 Car3 Glut_1","0026 L5/6 IT TPE-ENT Glut_2","0029 L5/6 IT TPE-ENT Glut_3","0034 L6 IT CTX Glut_1","0035 L6 IT CTX Glut_1","0036 L6 IT CTX Glut_1","0037 L6 IT CTX Glut_1","0038 L6 IT CTX Glut_2","0041 L6 IT CTX Glut_2","0042 L6 IT CTX Glut_2","0044 L6 IT CTX Glut_3","0049 L6 IT CTX Glut_4","0053 L6 IT CTX Glut_5","0054 L6 IT CTX Glut_5","0055 L5 IT CTX Glut_1","0056 L5 IT CTX Glut_1","0061 L5 IT CTX Glut_3","0065 L5 IT CTX Glut_5","0069 L4/5 IT CTX Glut_1","0072 L4/5 IT CTX Glut_1","0075 L4/5 IT CTX Glut_2","0076 L4/5 IT CTX Glut_2","0078 L4/5 IT CTX Glut_2","0083 L4/5 IT CTX Glut_3","0084 L4/5 IT CTX Glut_3","0090 L4/5 IT CTX Glut_4","0091 L4/5 IT CTX Glut_4","0094 L4/5 IT CTX Glut_4","0096 L4/5 IT CTX Glut_5","0098 L4/5 IT CTX Glut_5","0099 L4/5 IT CTX Glut_5","0104 L2/3 IT CTX Glut_1","0105 L2/3 IT CTX Glut_1","0106 L2/3 IT CTX Glut_1","0109 L2/3 IT CTX Glut_2","0351 L5 ET CTX Glut_1","0352 L5 ET CTX Glut_1","0361 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2","0377 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5","0421 L6b CTX Glut_1","0430 L6b CTX Glut_3","0433 L6 CT CTX Glut_1","0436 L6 CT CTX Glut_1","0439 L6 CT CTX Glut_2","0440 L6 CT CTX Glut_2","0441 L6 CT CTX Glut_2","0445 L6 CT CTX Glut_3","0449 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5","0461 L5 NP CTX Glut_2","0463 L5 NP CTX Glut_2","0465 L5 NP CTX Glut_3","0470 L5 NP CTX Glut_4","0497 Vip Gaba_1","0513 Vip Gaba_3","0514 Vip Gaba_3","0516 Vip Gaba_3","0522 Vip Gaba_4","0527 Vip Gaba_5","0529 Vip Gaba_5","0533 Vip Gaba_6","0547 Sncg Gaba_6","0553 Sncg Gaba_3","0560 Sncg Gaba_4","0580 Lamp5 Gaba_1","0581 Lamp5 Gaba_1","0582 Lamp5 Gaba_1","0587 Lamp5 Gaba_2","0605 Pvalb chandelier Gaba","0607 Pvalb Gaba_1","0618 Pvalb Gaba_3","0619 Pvalb Gaba_3","0620 Pvalb Gaba_8","0621 Pvalb Gaba_3","0624 Pvalb Gaba_4","0625 Pvalb Gaba_5","0628 Pvalb Gaba_4","0631 Sst Gaba_13","0638 Sst Gaba_1","0641 Sst Gaba_12","0664 Sst Gaba_4","0665 Sst Gaba_11","0666 Sst Gaba_4","0668 Sst Gaba_4","0669 Sst Gaba_4","0673 Sst Gaba_16","0675 Sst Gaba_5","0677 Sst Gaba_5","0688 Sst Gaba_7","0695 Sst Gaba_10","0697 Sst Gaba_8","0731 Sst Chodl Gaba_4","5113 Astro-TE NN_3","5146 OPC NN_1","5150 COP NN","5152 COP NN","5155 MFOL NN","5158 MOL NN","5182 Peri NN","5188 Endo NN","5190 Microglia NN"
"001 Car3 Glut",1,0.404583406071445,0.565777688545218,0.629393695047061,0.747659889407544,0.764351746062818,0.614933600683955,0.96034490145542,0.839678753269613,0.94787676681547,0.738216524220609,0.68770604814304,0.855750036873629,0.674908702315743,0.962211562349184,0.94808488189768,0.78330034032731,0.579632824286579,0.752147486427893,0.691919257791872,0.887571415655076,0.916479216794486,0.891832710936453,0.431701300440013,0.564067250421573,0.638241688121993,0.577196360672894,0.74430020896524,0.831242993356408,0.84978918043804,0.75463390377912,0.75012570241556,0.616939501859629,0.661371566429709,0.855259654431282,0.346266505958617,0.449097709289177,0.355724539335588,0.216239125876393,0.306872832966811,0.301073435641493,0.627591043419573,0.719295750975524,0.670368052600978,0.745443270885871,0.696551605704564,0.782516093784475,0.741889569360007,0.517590038222251,0.614219304762421,0.590534559158266,0.193660687198529,0.411606923400711,0.332799403792478,0.366500006887177,0.196077547120923,0.182780369858499,0.249929357548802,0.196894390796998,0.264507212670562,0.3035266382182,0.365651797376486,0.35406533411968,0.389055045521878,0.261901993095129,0.482572597577669,0.343514821221884,0.382942448307619,0.337289512130113,0.122141675284084,0.363013690772826,0.260366693974898,0.43077503534155,0.270460148421955,0.0846655742020729,0.141518491705679,0.174886747400551,0.0807648925529544,0.316874586062043,0.165039835291136,0.174296019320549,0.326906378943776,0.193252901145784,0.0817013749136088,0.162552276113379,0.251172073356103,0.134753191577509,0.286550765163419,0.0716881656542347,0.223841408534635,0.406141594108358,0.261503524103017,0.0763625135479421,0.390072271855082,0.413405685165735,0.279405051177851,0.228313216965325,0.23019154281681,0.33108411279224,0.202829640695375,0.395093739352423,0.406087570555606,0.345480094398714
"003 L5/6 IT TPE-ENT Glut",0.480557343794609,0.974493718512803,0.982397981960272,0.922217413383871,0.898756629392141,0.89640244806058,0.939559977692745,0.648034936611089,0.834527895237407,0.717775085826343,0.79288314124528,0.929100809912899,0.819122512362214,0.873490878815385,0.508931103950848,0.595992451361356,0.642922307531383,0.977587505243096,0.665109958056988,0.706452497736958,0.51407801679984,0.399994202784807,0.498025479938666,0.956685340715801,0.681385722388006,0.773780235530476,0.846899667737364,0.678307377093112,0.59752622647702,0.568963030256363,0.62971443500604,0.77847684937678,0.713937876562513,0.781866648992748,0.503558274950469,0.737751247113695,0.576363266127611,0.751070223934262,0.834990562886753,0.7967114148359,0.812809984849335,0.659470845088336,0.516797237706304,0.48796227187143,0.400405977936218,0.541533453995651,0.412653459557814,0.453873509044233,0.673146340049917,0.688880167939758,0.637534476432439,0.420646005943573,0.220945705815007,0.285662931828693,0.332660695882723,0.381877151523212,0.352418550850113,0.364349823299823,0.392086549765837,0.256081873434031,0.338874253555271,0.291244277321328,0.2442370989406,0.336017911398353,0.426365802541153,0.240797855927116,0.284568373164447,0.239839708217323,0.256339999854574,0.44355818966571,0.215886796766431,0.358100806688095,0.0857549087855529,0.176470955776091,0.165075525305047,0.178239671114927,0.263466781014303,0.213894032364534,0.22657766225308,0.283396274881599,0.313513095770072,0.236048847070766,0.231033615196103,0.230705807686005,0.278644399968405,0.139926525165372,0.182577742848235,0.219577745128513,0.336046526068735,0.259694244512902,0.0538349368424145,0.124006660700018,0.232621515823226,0.36076054444828,0.107902851823887,0.205132681685276,0.35127010543385,0.314675215859268,0.173284837296773,0.247243716126748,0.191599576142348,0.193435764414872,0.309698038460393
"004 L6 IT CTX Glut",0.78900324387373,0.844576621336668,0.914795614426422,0.938044589097988,0.944522946314292,0.970856662685632,0.948802388985906,0.913815181473138,0.973418501752543,0.946468798152466,0.774419195960392,0.938931638030851,0.928675382473904,0.920746845745502,0.717515346437215,0.796705528619981,0.684356263996825,0.892921791149649,0.569043623471373,0.54534997597238,0.540112341999275,0.50344304929479,0.503335986048072,0.759127998510882,0.599939740638318,0.643492311909702,0.642791982575442,0.613639252766116,0.539797534189933,0.64579871707203,0.619551820090783,0.84807275392817,0.773094606732055,0.778603449360478,0.696841225403887,0.557598509815618,0.478009948147815,0.601120478470515,0.613965958689854,0.577908997824823,0.587878736169032,0.638704786279694,0.490654093639425,0.670024931358577,0.641017068659244,0.753635641028149,0.692959097066026,0.715890395774309,0.671306267352199,0.733205850289064,0.734409484683851,0.252789485045691,0.241718198697562,0.242757610398204,0.280983251412612,0.232303123713465,0.30331333227243,0.340589771327333,0.317012538877225,0.250488997705443,0.249814084096459,0.27899161687374,0.333448167967975,0.326727259588224,0.263265399314078,0.338350605297022,0.22757711054973,0.25989350623837,0.246747927485466,0.311966221390602,0.282675063053675,0.361012460144979,0.203382999286961,0.17626697212178,0.147481427207622,0.15321375249826,0.278988485328229,0.16021208515682,0.268620737940838,0.181823581175849,0.152762800633533,0.121129050707282,0.140491381867875,0.11896736872363,0.166054983114565,0.0947468479214482,0.0929166128598643,0.10299617853253,0.214452957089562,0.240145800471656,0.084803242932867,0.119719364370817,0.115121387684813,0.289545386053312,0.253636272346779,0.355889351179698,0.399368423285739,0.420156306347986,0.31336987720965,0.347980406986065,0.354958396913869,0.369360809601672,0.361240954544803
"005 L5 IT CTX Glut",0.878346013515983,0.707574068673465,0.703667612974163,0.646054941347338,0.69182079472123,0.722764433936568,0.702753628258005,0.908313067415419,0.79740410296969,0.839014988063138,0.947377874208158,0.804987843599391,0.726760787969239,0.838434950243347,0.915961121566643,0.93519414919812,0.905690345613278,0.786189546224657,0.84571496734883,0.811408364135699,0.849096592160768,0.791067352958401,0.823479087496368,0.690817629045123,0.843230819976023,0.81196592663686,0.735059695595457,0.710403967266488,0.801644647905333,0.855340295040097,0.797880311445187,0.623235726131091,0.60065867024381,0.54074562948119,0.744270965556025,0.480661154655417,0.584681855054975,0.475001984728296,0.399335779450228,0.423019524705773,0.443684280345692,0.506165961192906,0.441438321394744,0.568178261266405,0.602378121954441,0.573384202992818,0.608779031482363,0.63233254101775,0.549161671266603,0.536459085317566,0.53887223696457,0.277923389940058,0.3243555037381,0.324113425899786,0.365648238509395,0.279715261401483,0.234156668942885,0.271932579275239,0.263505007860114,0.315242141645521,0.234181701140398,0.292416430928755,0.345175155287412,0.221996026983079,0.203068551757521,0.22714708371318,0.302360700846554,0.285588925184364,0.255951057504264,0.223954488095412,0.312224641229895,0.300030735749465,0.284265793017645,0.291499491040483,0.227528051524148,0.228695580561726,0.289435070446262,0.238319463088695,0.275973017512102,0.169767792302904,0.175285685210687,0.282154041718142,0.156305160252083,0.129374701917325,0.248827384368951,0.199358077579802,0.20978276009946,0.146635328453623,0.236485273045961,0.26119517075935,0.126971508876528,0.0605630973292543,0.0838958773503408,0.175286955142864,0.302684808128769,0.207612796164048,0.245359908413659,0.248465379212984,0.292916068336683,0.294619629398079,0.414882612825026,0.357809304583964,0.358801737047542
"006 L4/5 IT CTX Glut",0.777871228696632,0.727031194748585,0.650310085963561,0.539913687310839,0.562690593260365,0.527420725470051,0.572159496861004,0.672165899060971,0.546859841403774,0.613040629487569,0.875267732683779,0.679935942386533,0.582529525765459,0.700928693261153,0.847379584974114,0.841095539576546,0.862383973447555,0.739510906516576,0.977997672205559,0.976999306266374,0.948489584948752,0.916231507551581,0.958341891107854,0.801835749609634,0.881349233929605,0.940416343877702,0.91298551727918,0.915720901100158,0.981447044298534,0.921329211817347,0.941488259341775,0.729158582734484,0.769204159924512,0.733482645785208,0.836684261237273,0.581757229286369,0.631617890473051,0.549405989315654,0.510590203916706,0.549137716724391,0.562197826351501,0.312334504862022,0.291546773162962,0.450194950588994,0.503657095631211,0.435571562711758,0.494260521638448,0.483961278640339,0.417460294559584,0.330508370456278,0.406850380376447,0.349960132292032,0.430566256755632,0.432719166373348,0.408895231270332,0.262108690844981,0.221569905962014,0.234425267529134,0.225374969280779,0.254958458737827,0.256911770452776,0.280843928585043,0.310449333462856,0.183593465513366,0.277728548449802,0.157459043857793,0.134797442589344,0.174084055020193,0.134636092341189,0.226768861145672,0.292406163601846,0.241416561281773,0.216716591606191,0.256630867564579,0.258648068134112,0.243919156079062,0.151297414342698,0.218613516552265,0.147090453321259,0.165340644868054,0.28815834094977,0.344537908542414,0.25072617552048,0.281151395667573,0.309508387348391,0.275139367565264,0.302927214262495,0.155881479869962,0.199803147111846,0.121482848794125,0.147633747109774,0.189640119977292,0.234504561529733,0.0803089799620332,0.27320559636276,0.166253275550277,0.130362291331067,0.149200514866991,0.283801292938916,0.231820597090501,0.478643687547199,0.402894830067399,0.383322523836869
"007 L2/3 IT CTX Glut",0.717740302018515,0.619543423316424,0.730875187963985,0.794696482440955,0.851468554041699,0.797283641648681,0.739268808860787,0.648490327772256,0.736139163066051,0.829202902832248,0.622052944681149,0.730120654422539,0.893766377914205,0.683696408560657,0.587976637605989,0.611424053242632,0.488408740549227,0.704180044155819,0.666294259779219,0.6936112834889,0.720004831214705,0.805588324365225,0.730639546396029,0.72038329128908,0.489237553873168,0.718131500805732,0.793210213288266,0.939325230117917,0.793607168479797,0.821280157121884,0.850860239625905,0.989248064101365,0.994481694891214,0.983334440744116,0.969812218733768,0.757230268626023,0.563322940697404,0.688000600723121,0.707115830520613,0.820900407462335,0.765529946428971,0.318672930418947,0.267038744208168,0.483714179130828,0.495675364240993,0.499421913422859,0.50310216330971,0.460286161885923,0.400298600433569,0.41634833094043,0.488151044739477,0.240399377038736,0.139539056523734,0.199613432317786,0.244442284170154,0.299962073457761,0.255170785257785,0.309486660586404,0.333863574200065,0.335913154166563,0.374518893405067,0.296130534113317,0.222699865832243,0.224813466935282,0.284014823249399,0.2359460362206,0.219739502281626,0.256219731323928,0.303538156897429,0.312425292238895,0.120865059321116,0.134371699059735,0.156281324434071,0.251765079273859,0.209742304480897,0.247934006014417,0.134709414022138,0.288767049351069,0.0987746715859261,0.199125450607181,0.30857108990038,0.282739042640063,0.318088509338124,0.268764987814334,0.239510401713837,0.211478820377301,0.238285408634669,0.283232422668067,0.189669050602093,0.192254979131024,0.28241919809862,0.386928224945304,0.376579222533655,0.142287587045667,0.233056403049506,0.239914035793739,0.215238828961368,0.269295203371878,0.317281225987115,0.258423432988692,0.336568421053947,0.31514835769823,0.274467764291265
"022 L5 ET CTX Glut",0.324120650071336,0.812039991584367,0.737648984808675,0.701855671255927,0.658283520932582,0.611161145950088,0.674195072319959,0.415707735080393,0.52606384289487,0.455760037097666,0.479961092977819,0.660600200343211,0.633985783518771,0.590104777866311,0.406812288557912,0.393664948285179,0.499619628231859,0.667332378873781,0.513704468179229,0.598321802946807,0.37721705173038,0.476199475970723,0.445499268071402,0.785291550359855,0.685039586287254,0.583632506156349,0.635430791731671,0.587838348738453,0.532408228050993,0.480694081307009,0.543955632700753,0.724122408396448,0.788153220905885,0.811575420866663,0.613530683459097,0.992904439459817,0.980773141423045,0.987462929832735,0.974043811418295,0.991575883437109,0.982711451553618,0.801942603874597,0.685584238555933,0.833336427280964,0.808479215074397,0.756251632004735,0.75069327668521,0.728453365547874,0.803796746713517,0.759152172952537,0.811187647476489,0.597058200099882,0.488707310385332,0.601940660754763,0.67655383567705,0.202551223376644,0.228346541075324,0.276073892366269,0.199286169108894,0.185519983700022,0.21350523162976,0.136330723181506,0.107399596350298,0.36275333751155,0.392423620270526,0.218428386782929,0.336732998146887,0.304713760808139,0.36436651730446,0.370677838048241,0.151802557240237,0.128410374962221,0.200619750695994,0.220545298061148,0.29685622419625,0.292775149748218,0.215413115663102,0.277502272750033,0.28924866835775,0.275480469245299,0.355027917582966,0.285787446143872,0.122420973210707,0.180969654615465,0.109592888030213,0.141197659811003,0.106662372653258,0.304590712497561,0.187417440929998,0.229775167661596,0.342779546493083,0.28634975980526,0.255972815185627,0.283796900002945,0.2237406037156,0.308120465013527,0.273281405608371,0.258062705643092,0.295306443839943,0.231255421328707,0.174849776299667,0.302735013062282,0.239337137845446
"027 L6b CTX Glut",0.658872746435244,0.565157709534116,0.640519766159728,0.691056035911062,0.579253477994306,0.654172662552754,0.6987544862701,0.607409892061896,0.661063927490131,0.518890832261698,0.418254144608565,0.490342988141675,0.463798638430957,0.43693620895652,0.493766068110596,0.460800662045967,0.521754448467933,0.52557850839227,0.28231944266844,0.293420536834403,0.267246920219841,0.252535679870825,0.26542105189594,0.471005316629237,0.487640109156055,0.320983971198676,0.346111152158021,0.313396397867338,0.25597762258177,0.268131912296413,0.273788344357257,0.289062477258392,0.296470635243608,0.325055745735224,0.274585858479004,0.756539764844168,0.734495633223127,0.76096522591219,0.769568345524565,0.771976148002757,0.771757093264344,0.993976589466136,0.999478172805427,0.893871867753766,0.880619680828133,0.897277892230317,0.877891433651072,0.884444112471219,0.923464858862217,0.977036591193869,0.932024665226638,0.942495263873113,0.87498985784785,0.897245598399537,0.912033283790298,0.146578944519985,0.225582241412361,0.139356610068001,0.125178310032242,0.108687594916796,0.17252655726874,0.180175019515827,0.189446221829092,0.537300134594873,0.362192404342713,0.561553378181917,0.348212360832329,0.277343789622654,0.330111747353216,0.213772834626373,0.308776577057489,0.21195818793726,0.288595101392619,0.211448775892032,0.240304081005142,0.222464877420169,0.285032472390117,0.295616773326521,0.278341011890574,0.565204031921889,0.318960661682688,0.225127694729671,0.513529879015233,0.583302923917827,0.576892705020328,0.525355389187635,0.594523243611762,0.57097784515604,0.411724927537586,0.489222956690178,0.547142850269741,0.576083911289745,0.529630928894692,0.661895169471479,0.532946185187981,0.579731088758009,0.49470489549783,0.446423024737671,0.246032143928592,0.150080396181497,0.212267058831062,0.277051174069272,0.309105422827752
"028 L6 CT CTX Glut",0.682615669551953,0.526211424636885,0.568761686560406,0.724633842929868,0.716562967078517,0.771167650543083,0.701947557694971,0.781606673134103,0.809492722078047,0.779128280170478,0.505480763382202,0.561996415364318,0.731372584545511,0.62211541617672,0.673674357704777,0.642821541596054,0.637751324453149,0.487535297126642,0.462950993827338,0.422759969721479,0.469678964537683,0.473594061354055,0.488762703038412,0.432538011140553,0.598385815977457,0.415919081116647,0.387863343885269,0.412173920788505,0.432531423985997,0.507893622492706,0.443685950136854,0.482496404156902,0.446726789279173,0.480111821799246,0.518079332030174,0.793927043221723,0.81862967213108,0.847174319926369,0.755969444384029,0.754425679834366,0.771609381899427,0.921751273559364,0.906244370728178,0.990366131348309,0.972918315081718,0.991328584081888,0.97574962074538,0.982877133613979,0.960972308988536,0.942771875137906,0.977268021903675,0.753668609848691,0.724724084824836,0.76866208324807,0.891853202253939,0.158766529568487,0.164630125986788,0.0905796319727338,0.111620746720209,0.157650844393626,0.15922679023732,0.173655120494131,0.120210755133974,0.127268342073414,0.0528237240122455,0.247577600400893,0.261168256541372,0.294474994842608,0.297563903561421,0.128249125910363,0.149835803782577,0.178775285236916,0.26637555720341,0.169892338811455,0.22735563979106,0.180375319157607,0.283784812129848,0.195477491265286,0.265060853037441,0.267214148024312,0.0684029732162685,0.051647073649756,0.289245690484034,0.231771137496917,0.148793474131676,0.322639197530256,0.251548597991968,0.287997517825428,0.236921872817717,0.29032063730875,0.348878319504743,0.259248360075232,0.218890694790407,0.267552970043302,0.41374718885575,0.335764322715144,0.453167744917445,0.551159576732506,0.391127844699456,0.423815045546137,0.397897433156567,0.556714379783074,0.524254043611
"030 L5 NP CTX Glut",0.309895539719676,0.360468549540544,0.236609406991698,0.337662795530498,0.234421398987835,0.274453250052367,0.295729797902569,0.287182539573743,0.263376520739794,0.234879303250748,0.291961551410359,0.157304736888684,0.232953825572848,0.268998573605848,0.44410255744485,0.326968249393177,0.505145170395886,0.236673377684593,0.470559162798789,0.4655259858159,0.534262698238451,0.540797253021873,0.592405582045427,0.363569587587698,0.481689489131887,0.334494398603769,0.363266515785948,0.271594124490628,0.455062288590228,0.354783219610507,0.292771920435344,0.152937957182552,0.155496261521724,0.201490124925078,0.21425016602741,0.541613395732623,0.623018112859295,0.505127697857226,0.612976465957455,0.551188143328531,0.557356250917225,0.912549359688014,0.931828596317014,0.777048387007776,0.707345425958115,0.747998617470092,0.71131882393117,0.760775353963053,0.87672610228892,0.889279307759216,0.794513975445956,0.986846628892966,0.995442415848552,0.9942725986175,0.981596937373987,0.633386477875465,0.63230922900911,0.46283585023905,0.593380948391101,0.631565307803022,0.592495748566734,0.51600920398278,0.506060909150491,0.280731752347498,0.327616885380254,0.306926274453198,0.505976420259003,0.312735237071219,0.324540017758997,0.359749214531349,0.551433899122042,0.486889631637271,0.660294450478557,0.633192555535232,0.600442642962004,0.678196665826875,0.606500802751777,0.648612316086667,0.5883438846336,0.674620593995351,0.645530365572302,0.650477375065842,0.722111140186216,0.72837380873335,0.719375451261117,0.735939168743716,0.734398204264639,0.729603289109055,0.664842293279216,0.660391184833745,0.729145730745401,0.714754714520666,0.691751178425317,0.715066240338535,0.579829326521391,0.519265220421932,0.238336814160873,0.303340038401802,0.208625020329382,0.3497168786588,0.369265649854814,0.290861056930528,0.151943692825818
