"query","selected","auroc","compactness","relation","correct"
"0004 Car3 Glut_1","001 Car3 Glut",1,1,"leaf",TRUE
"0026 L5/6 IT TPE-ENT Glut_2","003 L5/6 IT TPE-ENT Glut",0.965285043848358,1,"leaf",TRUE
"0029 L5/6 IT TPE-ENT Glut_3","003 L5/6 IT TPE-ENT Glut",0.98982122584428,0.992857142857143,"leaf",TRUE
"0034 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0035 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.94974141634447,0.603174603174603,"discordant",TRUE
"0036 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.984852410418939,0.83448275862069,"leaf",TRUE
"0037 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0038 L6 IT CTX Glut_2",NA,NA,NA,"discordant",FALSE
"0041 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.98228907533594,0.994117647058824,"leaf",TRUE
"0042 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.945610569206075,0.952380952380952,"leaf",TRUE
"0044 L6 IT CTX Glut_3","005 L5 IT CTX Glut",0.973093580693718,0.745341614906832,"leaf",FALSE
"0049 L6 IT CTX Glut_4",NA,NA,NA,"discordant",FALSE
"0053 L6 IT CTX Glut_5","004 L6 IT CTX Glut",0.931853808468994,0.848739495798319,"leaf",TRUE
"0054 L6 IT CTX Glut_5",NA,NA,NA,"discordant",FALSE
"0055 L5 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0056 L5 IT CTX Glut_1","005 L5 IT CTX Glut",0.984753188166912,0.828125,"leaf",TRUE
"0065 L5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.972522130109529,0.970059880239521,"leaf",FALSE
"0069 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.965536300099843,1,"leaf",TRUE
"0072 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.966439232015659,0.994736842105263,"leaf",TRUE
"0075 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.933814553495574,1,"leaf",TRUE
"0076 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.899662398041744,0.971698113207547,"leaf",TRUE
"0078 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.948455683790513,1,"leaf",TRUE
"0083 L4/5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.94140205486511,0.945054945054945,"leaf",FALSE
"0084 L4/5 IT CTX Glut_3",NA,NA,NA,"discordant",FALSE
"0090 L4/5 IT CTX Glut_4","006 L4/5 IT CTX Glut",0.901512165014136,0.863636363636364,"leaf",TRUE
"0091 L4/5 IT CTX Glut_4",NA,NA,NA,"discordant",FALSE
"0094 L4/5 IT CTX Glut_4","007 L2/3 IT CTX Glut",0.93190404133256,0.559139784946237,"discordant",FALSE
"0096 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.973833143540212,0.984126984126984,"leaf",TRUE
"0098 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.881027123409538,0.72992700729927,"leaf",TRUE
"0099 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.906931623092725,0.730392156862745,"leaf",TRUE
"0104 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.977506433743348,0.9765625,"leaf",TRUE
"0105 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.991129343778488,0.994117647058824,"leaf",TRUE
"0106 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.978726926453212,0.994219653179191,"leaf",TRUE
"0109 L2/3 IT CTX Glut_2","007 L2/3 IT CTX Glut",0.95953486570373,0.961325966850829,"leaf",TRUE
"0351 L5 ET CTX Glut_1","022 L5 ET CTX Glut",0.983905662931997,1,"leaf",TRUE
"0352 L5 ET CTX Glut_1","022 L5 ET CTX Glut",0.96153832153985,1,"leaf",TRUE
"0361 L5 ET CTX Glut_2","022 L5 ET CTX Glut",0.97769039213214,1,"leaf",TRUE
"0362 L5 ET CTX Glut_2","022 L5 ET CTX Glut",0.954202337345194,0.992,"leaf",TRUE
"0377 L5 ET CTX Glut_5","022 L5 ET CTX Glut",0.986033595423616,1,"leaf",TRUE
"0379 L5 ET CTX Glut_5","022 L5 ET CTX Glut",0.970918269379665,0.978723404255319,"leaf",TRUE
"0421 L6b CTX Glut_1","027 L6b CTX Glut",0.990122014875139,1,"leaf",TRUE
"0430 L6b CTX Glut_3","027 L6b CTX Glut",0.999564346083471,1,"leaf",TRUE
"0433 L6 CT CTX Glut_1","028 L6 CT CTX Glut",0.986703085394633,1,"leaf",TRUE
"0436 L6 CT CTX Glut_1","028 L6 CT CTX Glut",0.956762386166656,1,"leaf",TRUE
"0439 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.984130667691704,1,"leaf",TRUE
"0440 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.956034226967268,1,"leaf",TRUE
"0441 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.973322454630866,1,"leaf",TRUE
"0445 L6 CT CTX Glut_3","028 L6 CT CTX Glut",0.950384192548957,0.983050847457627,"leaf",TRUE
"0449 L6 CT CTX Glut_5","027 L6b CTX Glut",0.971399773025923,0.596590909090909,"discordant",FALSE
"0452 L6 CT CTX Glut_5","028 L6 CT CTX Glut",0.96601616999177,0.943396226415094,"leaf",TRUE
"0461 L5 NP CTX Glut_2","030 L5 NP CTX Glut",0.973523198292512,0.994350282485876,"leaf",TRUE
"0463 L5 NP CTX Glut_2","030 L5 NP CTX Glut",0.988614377867038,1,"leaf",TRUE
"0465 L5 NP CTX Glut_3","030 L5 NP CTX Glut",0.989588646162985,1,"leaf",TRUE
"0470 L5 NP CTX Glut_4","030 L5 NP CTX Glut",0.963348456066174,0.934426229508197,"leaf",TRUE
"0497 Vip Gaba_1","036 Vip Gaba",0.95673611799566,0.968253968253968,"leaf",TRUE
"0513 Vip Gaba_3","036 Vip Gaba",0.982185846273965,0.984375,"leaf",TRUE
"0514 Vip Gaba_3","036 Vip Gaba",0.96738172411325,0.917647058823529,"leaf",TRUE
"0516 Vip Gaba_3","036 Vip Gaba",0.975311145993169,0.983050847457627,"leaf",TRUE
"0522 Vip Gaba_4","036 Vip Gaba",0.971307331382987,0.977011494252874,"leaf",TRUE
"0527 Vip Gaba_5","036 Vip Gaba",0.994934502255606,1,"leaf",TRUE
"0529 Vip Gaba_5","036 Vip Gaba",0.979287064269327,0.953488372093023,"leaf",TRUE
"0533 Vip Gaba_6",NA,NA,NA,"discordant",FALSE
"0547 Sncg Gaba_6","037 Sncg Gaba",0.995777942075555,1,"leaf",TRUE
"0553 Sncg Gaba_3","037 Sncg Gaba",0.989825809012024,1,"leaf",TRUE
"0560 Sncg Gaba_4","037 Sncg Gaba",0.996441218504256,1,"leaf",TRUE
"0580 Lamp5 Gaba_1","039 Lamp5 Gaba",0.99684626844651,1,"leaf",TRUE
"0581 Lamp5 Gaba_1","039 Lamp5 Gaba",0.977559586708935,1,"leaf",TRUE
"0582 Lamp5 Gaba_1","039 Lamp5 Gaba",0.984950802167783,1,"leaf",TRUE
"0587 Lamp5 Gaba_2","037 Sncg Gaba",0.953708588789637,0.421052631578947,"discordant",FALSE
"0605 Pvalb chandelier Gaba","041 Pvalb chandelier Gaba",1,1,"leaf",TRUE
"0607 Pvalb Gaba_1","042 Pvalb Gaba",0.971422371569928,1,"leaf",TRUE
"0618 Pvalb Gaba_3","042 Pvalb Gaba",0.980931802280117,1,"leaf",TRUE
"0619 Pvalb Gaba_3","042 Pvalb Gaba",0.991171369737001,1,"leaf",TRUE
"0620 Pvalb Gaba_8","042 Pvalb Gaba",0.992126551084504,1,"leaf",TRUE
