"query","selected","auroc","compactness","relation","correct"
"001 Car3 Glut","0004 Car3 Glut_1",1,1,"leaf",TRUE
"003 L5/6 IT TPE-ENT Glut","subclass:003 L5/6 IT TPE-ENT Glut",0.987796590669402,1,"family",TRUE
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",0.97593320314095,1,"family",TRUE
"005 L5 IT CTX Glut","subclass:005 L5 IT CTX Glut",0.928223940858845,1,"family",TRUE
"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",0.989637714929782,1,"family",TRUE
"007 L2/3 IT CTX Glut","subclass:007 L2/3 IT CTX Glut",0.998391528135216,1,"family",TRUE
"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",0.999940719167421,1,"family",TRUE
"027 L6b CTX Glut","subclass:027 L6b CTX Glut",0.999850477650344,1,"family",TRUE
"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",0.998776286667803,0.996007984031936,"family",TRUE
"030 L5 NP CTX Glut","subclass:030 L5 NP CTX Glut",0.999779229351892,0.989304812834225,"family",TRUE
"036 Vip Gaba","subclass:036 Vip Gaba",0.999285651413458,0.996894409937888,"family",TRUE
"037 Sncg Gaba","subclass:037 Sncg Gaba",0.999990659493157,1,"family",TRUE
"039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1",0.999702445532062,0.997881355932203,"family",FALSE
"041 Pvalb chandelier Gaba","0605 Pvalb chandelier Gaba",1,0.987012987012987,"leaf",TRUE
"042 Pvalb Gaba","subclass:042 Pvalb Gaba",0.999150284037744,0.996784565916399,"family",TRUE
"043 Sst Gaba","supertype:0162 Sst Gaba_4",0.997405072649189,0.990066225165563,"family",FALSE
"046 Sst Chodl Gaba","0731 Sst Chodl Gaba_4",1,1,"leaf",TRUE
"287 Astro-TE NN","5113 Astro-TE NN_3",1,1,"leaf",TRUE
"294 OPC NN","5146 OPC NN_1",0.999997546087543,1,"leaf",TRUE
"295 Oligo NN","subclass:295 Oligo NN",0.999962006079027,1,"family",TRUE
"299 Peri NN","5182 Peri NN",0.999986359916341,1,"leaf",TRUE
"301 Endo NN","5188 Endo NN",0.999393411631611,0.959183673469388,"leaf",TRUE
"302 Microglia NN","5190 Microglia NN",0.9999713910733,1,"leaf",TRUE
