"query","selected","auroc","compactness","relation","correct"
"0004 Car3 Glut_1","001 Car3 Glut",1,1,"leaf",TRUE
"0026 L5/6 IT TPE-ENT Glut_2","003 L5/6 IT TPE-ENT Glut",0.967330709446076,1,"leaf",TRUE
"0029 L5/6 IT TPE-ENT Glut_3","003 L5/6 IT TPE-ENT Glut",0.989277948925625,0.984962406015038,"leaf",TRUE
"0034 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0035 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.951939292882759,0.73134328358209,"leaf",TRUE
"0036 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.98528501529052,0.886666666666667,"leaf",TRUE
"0037 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0038 L6 IT CTX Glut_2",NA,NA,NA,"discordant",FALSE
"0041 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.982053822629969,1,"leaf",TRUE
"0042 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.946705514239071,0.916666666666667,"leaf",TRUE
"0044 L6 IT CTX Glut_3","005 L5 IT CTX Glut",0.967134862385321,0.686666666666667,"discordant",FALSE
"0049 L6 IT CTX Glut_4",NA,NA,NA,"discordant",FALSE
"0053 L6 IT CTX Glut_5","004 L6 IT CTX Glut",0.930932721712538,0.84,"leaf",TRUE
"0054 L6 IT CTX Glut_5",NA,NA,NA,"discordant",FALSE
"0055 L5 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0056 L5 IT CTX Glut_1","005 L5 IT CTX Glut",0.980836350956251,0.741176470588235,"leaf",TRUE
"0061 L5 IT CTX Glut_3","005 L5 IT CTX Glut",0.948419097787644,0.695652173913043,"discordant",TRUE
"0065 L5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.974296024464832,0.96,"leaf",FALSE
"0069 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.972396330275229,1,"leaf",TRUE
"0072 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.965669724770642,0.993333333333333,"leaf",TRUE
"0075 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.939977981651376,1,"leaf",TRUE
"0076 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.904364443482935,0.944954128440367,"leaf",TRUE
"0078 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.954499082568807,1,"leaf",TRUE
"0083 L4/5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.949453211009174,0.98,"leaf",FALSE
"0084 L4/5 IT CTX Glut_3",NA,NA,NA,"discordant",FALSE
"0090 L4/5 IT CTX Glut_4","006 L4/5 IT CTX Glut",0.906214678899083,0.833333333333333,"leaf",TRUE
"0091 L4/5 IT CTX Glut_4","006 L4/5 IT CTX Glut",0.875733333333333,0.506666666666667,"discordant",TRUE
"0094 L4/5 IT CTX Glut_4","007 L2/3 IT CTX Glut",0.933049541284404,0.52,"discordant",FALSE
"0096 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.978580428134557,0.993333333333333,"leaf",TRUE
"0098 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.894169176378159,0.778571428571429,"leaf",TRUE
"0099 L4/5 IT CTX Glut_5","006 L4/5 IT CTX Glut",0.913521712538226,0.74,"leaf",TRUE
"0104 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.982574674137346,0.982142857142857,"leaf",TRUE
"0105 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.990533333333333,0.993333333333333,"leaf",TRUE
"0106 L2/3 IT CTX Glut_1","007 L2/3 IT CTX Glut",0.982610397553517,1,"leaf",TRUE
"0109 L2/3 IT CTX Glut_2","007 L2/3 IT CTX Glut",0.960440978593272,0.946666666666667,"leaf",TRUE
"0351 L5 ET CTX Glut_1","022 L5 ET CTX Glut",0.985870948012232,1,"leaf",TRUE
"0352 L5 ET CTX Glut_1","022 L5 ET CTX Glut",0.961816380381849,1,"leaf",TRUE
"0361 L5 ET CTX Glut_2","022 L5 ET CTX Glut",0.974940407109048,1,"leaf",TRUE
"0362 L5 ET CTX Glut_2","022 L5 ET CTX Glut",0.948267889908257,0.986666666666667,"leaf",TRUE
"0377 L5 ET CTX Glut_5","022 L5 ET CTX Glut",0.983262691131498,1,"leaf",TRUE
"0379 L5 ET CTX Glut_5","022 L5 ET CTX Glut",0.965466666666667,0.986666666666667,"leaf",TRUE
"0421 L6b CTX Glut_1","027 L6b CTX Glut",0.988517737003058,0.993333333333333,"leaf",TRUE
"0430 L6b CTX Glut_3","027 L6b CTX Glut",0.999331691188825,1,"leaf",TRUE
"0433 L6 CT CTX Glut_1","028 L6 CT CTX Glut",0.982543119266055,1,"leaf",TRUE
"0436 L6 CT CTX Glut_1","028 L6 CT CTX Glut",0.950155351681957,1,"leaf",TRUE
"0439 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.983389602446483,1,"leaf",TRUE
"0440 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.954029378421092,1,"leaf",TRUE
"0441 L6 CT CTX Glut_2","028 L6 CT CTX Glut",0.967636274556288,1,"leaf",TRUE
"0445 L6 CT CTX Glut_3","028 L6 CT CTX Glut",0.94960437584526,0.966101694915254,"leaf",TRUE
"0449 L6 CT CTX Glut_5","027 L6b CTX Glut",0.971800305810398,0.64,"discordant",FALSE
"0452 L6 CT CTX Glut_5","028 L6 CT CTX Glut",0.965623853211009,0.96,"leaf",TRUE
"0461 L5 NP CTX Glut_2","030 L5 NP CTX Glut",0.97437125382263,1,"leaf",TRUE
"0463 L5 NP CTX Glut_2","030 L5 NP CTX Glut",0.991214709074779,1,"leaf",TRUE
"0465 L5 NP CTX Glut_3","030 L5 NP CTX Glut",0.988622935779817,1,"leaf",TRUE
"0470 L5 NP CTX Glut_4","030 L5 NP CTX Glut",0.963401007054886,0.858407079646018,"leaf",TRUE
