"class","subclass"
"01 IT-ET Glut","005 L5 IT CTX Glut"
"01 IT-ET Glut","004 L6 IT CTX Glut"
"01 IT-ET Glut","003 L5/6 IT TPE-ENT Glut"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut"
"02 NP-CT-L6b Glut","027 L6b CTX Glut"
"01 IT-ET Glut","001 Car3 Glut"
"01 IT-ET Glut","006 L4/5 IT CTX Glut"
"01 IT-ET Glut","007 L2/3 IT CTX Glut"
"01 IT-ET Glut","022 L5 ET CTX Glut"
"05 MGE GABA","043 Sst Gaba"
"28 Astro-Epen","287 Astro-TE NN"
"29 Oligo","294 OPC NN"
"29 Oligo","295 Oligo NN"
"31 Vascular","299 Peri NN"
"31 Vascular","301 Endo NN"
"32 Immune","302 Microglia NN"
"05 MGE GABA","042 Pvalb Gaba"
"05 MGE GABA","041 Pvalb chandelier Gaba"
"04 CGE GABA","036 Vip Gaba"
"04 CGE GABA","037 Sncg Gaba"
"04 CGE GABA","039 Lamp5 Gaba"
"02 NP-CT-L6b Glut","030 L5 NP CTX Glut"
"06 CNU GABA","046 Sst Chodl Gaba"
