"class","subclass","supertype","cluster"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","005 L5 IT CTX Glut","0022 L5 IT CTX Glut_5","0065 L5 IT CTX Glut_5"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
"01 IT-ET Glut","004 L6 IT CTX Glut","0013 L6 IT CTX Glut_1","0034 L6 IT CTX Glut_1"
