"query","argmax_correct","true_mass","fam_margin","H_family","H_within","eff_leaves","n_true","eff_ratio","category","condition"
"001 Car3 Glut",TRUE,0.95074722335946,0.917583494954029,0.227426597609652,0,1.25536528955913,1,1.25536528955913,"confident_correct","random"
"003 L5/6 IT TPE-ENT Glut",TRUE,0.716651084385932,0.483504968795112,0.728436556444202,0.691222760882309,3.40009066547498,2,1.70004533273749,"underconfident_correct","random"
"004 L6 IT CTX Glut",TRUE,1,1,-2.22044604925031e-16,2.0950268433979,8.12565908758517,11,0.738696280689561,"confident_correct","random"
"005 L5 IT CTX Glut",TRUE,0.663747211319867,0.327494422639735,0.638518631103764,1.05616653085134,3.81731089541155,4,0.954327723852888,"underconfident_correct","random"
"006 L4/5 IT CTX Glut",TRUE,1,1,2.22044604925031e-16,2.25357385336133,9.5217042759247,13,0.732438790455746,"confident_correct","random"
"007 L2/3 IT CTX Glut",TRUE,0.966585644568201,0.933171289136402,0.146417469598274,1.31234118773609,4.11610621255966,4,1.02902655313991,"confident_correct","random"
"022 L5 ET CTX Glut",TRUE,1,1,0,1.78668629902726,5.96963805955983,6,0.994939676593305,"confident_correct","random"
"027 L6b CTX Glut",TRUE,0.91909537421248,0.83819074842496,0.280973241475258,0.692194502948739,2.50218914620455,2,1.25109457310227,"confident_correct","random"
"028 L6 CT CTX Glut",TRUE,1,1,1.67638393345647e-270,1.90538600582934,6.72200185881091,8,0.840250232351364,"confident_correct","random"
"030 L5 NP CTX Glut",TRUE,1,1,2.22044604925031e-16,1.33260866277632,3.79091973113367,4,0.947729932783418,"confident_correct","random"
"036 Vip Gaba",TRUE,0.999999980117106,0.999999960234211,3.72474334003419e-07,1.99649405521752,7.36319828538238,8,0.920399785672798,"confident_correct","random"
"037 Sncg Gaba",TRUE,1,1,2.3325611950313e-73,1.09825738785829,2.99893548648008,3,0.999645162160027,"confident_correct","random"
"039 Lamp5 Gaba",TRUE,1,1,6.10150472541751e-181,1.3686127445859,3.92989514390846,4,0.982473785977116,"confident_correct","random"
"041 Pvalb chandelier Gaba",TRUE,1,1,4.24477759271022e-59,0,1,1,1,"confident_correct","random"
"042 Pvalb Gaba",TRUE,0.974469167438507,0.948938334877013,0.118845846225491,1.96236637864768,7.62255318660116,8,0.952819148325145,"confident_correct","random"
"043 Sst Gaba",TRUE,1,1,1.11022302462516e-16,2.45855237488194,11.6878796192871,14,0.834848544234796,"confident_correct","random"
"046 Sst Chodl Gaba",TRUE,1,1,2.75928873477846e-81,0,1,1,1,"confident_correct","random"
"287 Astro-TE NN",TRUE,1,1,9.4653338087664e-224,0,1,1,1,"confident_correct","random"
"294 OPC NN",TRUE,1,1,1.02465848658362e-53,0,1,1,1,"confident_correct","random"
"295 Oligo NN",TRUE,1,1,1.06008886829856e-166,1.3153268673144,3.72596868360462,4,0.931492170901154,"confident_correct","random"
"299 Peri NN",TRUE,1,1,2.2961162450439e-92,0,1,1,1,"confident_correct","random"
"301 Endo NN",TRUE,1,1,7.71189754097806e-83,0,1,1,1,"confident_correct","random"
"302 Microglia NN",TRUE,1,1,6.57934169093423e-200,0,1,1,1,"confident_correct","random"
