"subclass","compact_support"
"001 Car3 Glut",1
"003 L5/6 IT TPE-ENT Glut",0.578189300411523
"004 L6 IT CTX Glut",0.927519379844961
"005 L5 IT CTX Glut",0.711302211302211
"006 L4/5 IT CTX Glut",0.951013958388201
"007 L2/3 IT CTX Glut",0.972395369545859
"022 L5 ET CTX Glut",0.998762376237624
"027 L6b CTX Glut",0.928308823529412
"028 L6 CT CTX Glut",0.993013972055888
"030 L5 NP CTX Glut",0.983971504897596
"036 Vip Gaba",0.994590417310665
"037 Sncg Gaba",1
"039 Lamp5 Gaba",0.998940677966102
"041 Pvalb chandelier Gaba",0.993548387096774
"042 Pvalb Gaba",0.986356340288925
"043 Sst Gaba",0.990511551155115
"046 Sst Chodl Gaba",1
"287 Astro-TE NN",1
"294 OPC NN",1
"295 Oligo NN",0.996894409937888
"299 Peri NN",1
"301 Endo NN",0.898989898989899
"302 Microglia NN",0.990196078431373
