"alpha","query","node","share","own_mass","correct"
0.3,"001 Car3 Glut","class:01 IT-ET Glut",1,0.209544254780401,FALSE
0.3,"003 L5/6 IT TPE-ENT Glut","class:01 IT-ET Glut",1,0.400353479526157,FALSE
0.3,"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",1,1,TRUE
0.3,"005 L5 IT CTX Glut","class:01 IT-ET Glut",1,0.418966454121721,FALSE
0.3,"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",1,1,TRUE
0.3,"007 L2/3 IT CTX Glut","class:01 IT-ET Glut",1,0.803376833994324,FALSE
0.3,"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",1,1,TRUE
0.3,"027 L6b CTX Glut","class:02 NP-CT-L6b Glut",1,0.322385419860609,FALSE
0.3,"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",1,1,TRUE
0.3,"030 L5 NP CTX Glut","class:02 NP-CT-L6b Glut",1,0.891112442178666,FALSE
0.3,"036 Vip Gaba","subclass:036 Vip Gaba",1,1,TRUE
0.3,"037 Sncg Gaba","class:04 CGE GABA",1,0.751941796608653,FALSE
0.3,"039 Lamp5 Gaba","subclass:039 Lamp5 Gaba",1,1,TRUE
0.3,"041 Pvalb chandelier Gaba","class:05 MGE GABA",1,0.190800447085352,FALSE
0.3,"042 Pvalb Gaba","subclass:042 Pvalb Gaba",1,1,TRUE
0.3,"043 Sst Gaba","subclass:043 Sst Gaba",1,1,TRUE
0.3,"046 Sst Chodl Gaba","subclass:043 Sst Gaba",1,9.94405925384677e-320,FALSE
0.3,"287 Astro-TE NN","root",0.476318410904393,0.263308077356622,FALSE
0.3,"294 OPC NN","root",0.732401678817249,1.50650715754308e-73,FALSE
0.3,"295 Oligo NN","subclass:295 Oligo NN",1,1,TRUE
0.3,"299 Peri NN","class:01 IT-ET Glut",1,2.18731934248233e-161,FALSE
0.3,"301 Endo NN","root",0.537675319452385,0.269458249534835,FALSE
0.3,"302 Microglia NN","root",0.51310672187189,0.260325889025902,FALSE
0.5,"001 Car3 Glut","class:01 IT-ET Glut",1,0.201047323504212,FALSE
0.5,"003 L5/6 IT TPE-ENT Glut","class:01 IT-ET Glut",1,0.366496066051727,FALSE
0.5,"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",1,1,TRUE
0.5,"005 L5 IT CTX Glut","class:01 IT-ET Glut",1,0.401216484841511,FALSE
0.5,"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",1,1,TRUE
0.5,"007 L2/3 IT CTX Glut","class:01 IT-ET Glut",1,0.803509403837687,FALSE
0.5,"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",1,1,TRUE
0.5,"027 L6b CTX Glut","class:02 NP-CT-L6b Glut",1,0.35921266476755,FALSE
0.5,"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",1,1,TRUE
0.5,"030 L5 NP CTX Glut","subclass:030 L5 NP CTX Glut",0.925337637373838,0.925337637373838,TRUE
0.5,"036 Vip Gaba","subclass:036 Vip Gaba",1,1,TRUE
0.5,"037 Sncg Gaba","class:04 CGE GABA",1,0.747483711737624,FALSE
0.5,"039 Lamp5 Gaba","subclass:039 Lamp5 Gaba",1,1,TRUE
0.5,"041 Pvalb chandelier Gaba","class:05 MGE GABA",1,0.240281851920477,FALSE
0.5,"042 Pvalb Gaba","subclass:042 Pvalb Gaba",1,1,TRUE
0.5,"043 Sst Gaba","subclass:043 Sst Gaba",1,1,TRUE
0.5,"046 Sst Chodl Gaba","subclass:043 Sst Gaba",1,1.26709842678887e-91,FALSE
0.5,"287 Astro-TE NN","root",0.434593097402968,0.308215209173218,FALSE
0.5,"294 OPC NN","root",0.737591346734159,1.40822465426821e-97,FALSE
0.5,"295 Oligo NN","subclass:295 Oligo NN",1,1,TRUE
0.5,"299 Peri NN","root",0.362255993431558,0.316802596076472,FALSE
0.5,"301 Endo NN","root",0.687533829068272,0.312466170931728,FALSE
0.5,"302 Microglia NN","root",0.482206083182853,0.316361108992014,FALSE
0.7,"001 Car3 Glut","class:01 IT-ET Glut",1,0.187893651342107,FALSE
0.7,"003 L5/6 IT TPE-ENT Glut","class:01 IT-ET Glut",1,0.328021423079452,FALSE
0.7,"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",1,1,TRUE
0.7,"005 L5 IT CTX Glut","class:01 IT-ET Glut",1,0.37498524017238,FALSE
0.7,"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",1,1,TRUE
0.7,"007 L2/3 IT CTX Glut","class:01 IT-ET Glut",1,0.780259110546248,FALSE
0.7,"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",1,1,TRUE
0.7,"027 L6b CTX Glut","class:02 NP-CT-L6b Glut",1,0.392736717284048,FALSE
0.7,"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",1,1,TRUE
