"query","selected","auroc","compactness","relation","correct"
"0004 Car3 Glut_1","001 Car3 Glut",1,1,"leaf",TRUE
"0026 L5/6 IT TPE-ENT Glut_2","003 L5/6 IT TPE-ENT Glut",0.938757011266971,1,"leaf",TRUE
"0029 L5/6 IT TPE-ENT Glut_3","003 L5/6 IT TPE-ENT Glut",0.97429665666962,0.941176470588235,"leaf",TRUE
"0034 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0035 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.946117308101794,0.704918032786885,"leaf",TRUE
"0036 L6 IT CTX Glut_1","004 L6 IT CTX Glut",0.97840307901857,0.745098039215686,"leaf",TRUE
"0037 L6 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0038 L6 IT CTX Glut_2",NA,NA,NA,"discordant",FALSE
"0041 L6 IT CTX Glut_2","004 L6 IT CTX Glut",0.988337517845715,0.89,"leaf",TRUE
"0042 L6 IT CTX Glut_2",NA,NA,NA,"discordant",FALSE
"0044 L6 IT CTX Glut_3","005 L5 IT CTX Glut",0.957416038193921,0.508130081300813,"discordant",FALSE
"0049 L6 IT CTX Glut_4",NA,NA,NA,"discordant",FALSE
"0053 L6 IT CTX Glut_5","004 L6 IT CTX Glut",0.945891939870193,0.84070796460177,"leaf",TRUE
"0054 L6 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.911457902455533,0.781609195402299,"leaf",FALSE
"0055 L5 IT CTX Glut_1",NA,NA,NA,"discordant",FALSE
"0056 L5 IT CTX Glut_1","005 L5 IT CTX Glut",0.96787232414885,0.755681818181818,"leaf",TRUE
"0061 L5 IT CTX Glut_3","005 L5 IT CTX Glut",0.8936451901891,0.546666666666667,"discordant",TRUE
"0065 L5 IT CTX Glut_5","003 L5/6 IT TPE-ENT Glut",0.989982523507114,0.986666666666667,"leaf",FALSE
"0069 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.945720763074866,0.976190476190476,"leaf",TRUE
"0072 L4/5 IT CTX Glut_1","006 L4/5 IT CTX Glut",0.971640082705656,1,"leaf",TRUE
"0075 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.925018998938718,0.993939393939394,"leaf",TRUE
"0076 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.885489191319862,0.9,"leaf",TRUE
"0078 L4/5 IT CTX Glut_2","006 L4/5 IT CTX Glut",0.946700881209078,1,"leaf",TRUE
"0083 L4/5 IT CTX Glut_3","003 L5/6 IT TPE-ENT Glut",0.96771765798024,0.992424242424242,"leaf",FALSE
"0084 L4/5 IT CTX Glut_3","005 L5 IT CTX Glut",0.879237680303254,0.463333333333333,"discordant",FALSE
