"query","selected","auroc","compactness","relation","correct"
"001 Car3 Glut","0004 Car3 Glut_1",1,1,"leaf",TRUE
"003 L5/6 IT TPE-ENT Glut","subclass:003 L5/6 IT TPE-ENT Glut",0.983838187950344,1,"family",TRUE
"004 L6 IT CTX Glut","subclass:004 L6 IT CTX Glut",0.971315591829655,1,"family",TRUE
"005 L5 IT CTX Glut","subclass:005 L5 IT CTX Glut",0.948155664336909,1,"family",TRUE
"006 L4/5 IT CTX Glut","subclass:006 L4/5 IT CTX Glut",0.990776877259854,1,"family",TRUE
"007 L2/3 IT CTX Glut","subclass:007 L2/3 IT CTX Glut",0.996642532994741,1,"family",TRUE
"022 L5 ET CTX Glut","subclass:022 L5 ET CTX Glut",0.999951193410378,1,"family",TRUE
"027 L6b CTX Glut","subclass:027 L6b CTX Glut",0.999607550472682,0.998161764705882,"family",TRUE
"028 L6 CT CTX Glut","subclass:028 L6 CT CTX Glut",0.998812522987718,0.997005988023952,"family",TRUE
"030 L5 NP CTX Glut","subclass:030 L5 NP CTX Glut",0.999509611178722,0.992876224398931,"family",TRUE
"036 Vip Gaba","subclass:036 Vip Gaba",0.999474893511083,0.997681607418856,"family",TRUE
"037 Sncg Gaba","subclass:037 Sncg Gaba",0.99998729180945,1,"family",TRUE
"039 Lamp5 Gaba","supertype:0148 Lamp5 Gaba_1",0.999655267733702,0.998940677966102,"family",FALSE
"041 Pvalb chandelier Gaba","0605 Pvalb chandelier Gaba",0.99999911670141,0.993548387096774,"leaf",TRUE
"042 Pvalb Gaba","subclass:042 Pvalb Gaba",0.998363641227453,0.995987158908507,"family",TRUE
"043 Sst Gaba","subclass:043 Sst Gaba",0.99715632581178,0.996287128712871,"family",TRUE
"046 Sst Chodl Gaba","0731 Sst Chodl Gaba_4",1,1,"leaf",TRUE
"287 Astro-TE NN","5113 Astro-TE NN_3",1,1,"leaf",TRUE
"294 OPC NN","5146 OPC NN_1",1,1,"leaf",TRUE
"295 Oligo NN","subclass:295 Oligo NN",0.999892457607874,1,"family",TRUE
"299 Peri NN","5182 Peri NN",0.999995570644892,1,"leaf",TRUE
"301 Endo NN","class:31 Vascular",0.997483023976105,0.97979797979798,"family",FALSE
"302 Microglia NN","5190 Microglia NN",0.999785755413023,0.990196078431373,"leaf",TRUE
